Player	Height	Position	Year born (Age)	Current Club
Roko Leni Ukić	1.95	PG	December 5, 1984 (age29)	Toronto Raptors
Davor Kus	1.91	PG/SG	July 21, 1978 (age35)	Unicaja Málaga
Marko Popović	1.85	PG	June 12, 1982 (age31)	Zalgiris Kaunas
Marin Rozić	2.03	SF	February 14, 1983 (age30)	Cibona Zagreb
Nikola Prkačin	2.08	PF	November 15, 1975 (age38)	Cibona Zagreb
Marko Tomas	2.01	SG/SF	January 3, 1985 (age29)	Real Madrid
Zoran Planinić	1.99	PG	September 12, 1982 (age31)	CSKA Moscow
Sandro Nicević	2.11	C	June 16, 1976 (age37)	Benetton Treviso
Damir Markota	2.09	SF/PF	December 26, 1985 (age28)	Zalgiris Kaunas
Marko Banić	2.04	PF	August 31, 1984 (age29)	Iurbentia Bilbao
Krešimir Lončar	2.10	C	February 12, 1983 (age30)	Lokomotiv Rostov
Stanko Barać	2.17	C	August 13, 1986 (age27)	Pamesa Valencia
