Date	Opponent	Score	Loss	Attendance	Record
May 1	@ New York Mets	1-2	Majewski (1-2)	28,310	8-18
May 2	@ New York Mets	6-2	Maine (0-1)	34,046	9-18
May 3	Florida Marlins	5-6	Stanton (1-3)	21,918	9-19
May 4	Florida Marlins	3-11	Hernández (1-4)	20,984	9-20
May 5	Pittsburgh Pirates	6-0	Pérez (1-5)	21,059	10-20
May 6	Pittsburgh Pirates	4-5 (11)	Rodriguez (0-1)	29,953	10-21
May 7	Pittsburgh Pirates	5-4	Duke (2-3)	30,659	11-21
May 9	@ Cincinnati Reds	7-1	Claussen (2-4)	16,716	12-21
May 10	@ Cincinnati Reds	6-9	Stanton (1-4)	14,180	12-22
May 11	@ Cincinnati Reds	4-5 (11)	Eischen (0-1)	16,716	12-23
May 12	@ Atlanta Braves	2-6	Ortiz (0-4)	31,818	12-24
May 13	@ Atlanta Braves	5-8	Cordero (1-1)	37,040	12-25
May 14	@ Atlanta Braves	8-1	Thomson (1-3)	31,062	13-25
May 16	@ Chicago Cubs	0-4	Hernández (1-5)	39,298	13-26
May 17	@ Chicago Cubs	0-5	Day (2-4)	39,757	13-27
May 18	@ Chicago Cubs	5-3	Wood (0-1)	40,517	14-27
May 19	Baltimore Orioles	1-5	O'Connor (2-2)	30,320	14-28
May 20	Baltimore Orioles	8-3	Lopez (1-7)	32,502	15-28
May 21	Baltimore Orioles	3-1	Chen (0-5)	32,152	16-28
May 22	Houston Astros	3-10	Day (2-5)	18,803	16-29
May 23	Houston Astros	4-1	Nieve (1-3)	23,189	17-29
May 24	Houston Astros	5-1	Wheeler (0-3)	24,194	18-29
May 25	Houston Astros	8-5	Pettitte (3-6)	24,733	19-29
May 26	Los Angeles Dodgers	10-4	Tomko (5-2)	22,712	20-29
May 27	Los Angeles Dodgers	1-3	Stanton (1-5)	26,867	20-30
May 28	Los Angeles Dodgers	10-4	Seo (2-3)	30,348	21-30
May 29	@ Philadelphia Phillies	2-11	O'Connor (2-3)	33,682	21-31
May 30	@ Philadelphia Phillies	2-4	Armas (5-3)	23,805	21-32
May 31	@ Philadelphia Phillies	3-2	Lidle (4-5)	30,386	22-32
