Date	Tournament	Surface	Partner	Opponents in the final
9 May 2010	Estoril Open , Estoril, Portugal	Clay	Marc López	Pablo Cuevas Marcel Granollers
25 July 2010	International German Open , Hamburg, Germany	Clay	Marc López	Jérémy Chardy Paul-Henri Mathieu
1 May 2011	Estoril Open , Estoril, Portugal	Clay	Marc López	Eric Butorac Jean-Julien Rojer
21 May 2011	Open de Nice Côte d’Azur , Nice, France	Clay	Santiago Gonzalez	Eric Butorac Jean-Julien Rojer
24 September 2011	BRD Năstase Țiriac Trophy , Bucharest, Romania	Clay	Julian Knowle	Daniele Bracciali Potito Starace
23 October 2011	Kremlin Cup , Moscow, Russia	Hard (i)	Carlos Berlocq	František Čermák Filip Polášek
25 February 2012	Copa Claro , Buenos Aires, Argentina	Clay	Fernando Verdasco	Michal Mertiňák André Sá
4 March 2012	Abierto Mexicano TELCEL , Acapulco, Mexico	Clay	Fernando Verdasco	Marcel Granollers Marc López
6 May 2012	Estoril Open , Estoril, Portugal	Clay	Julian Knowle	Aisam-ul-Haq Qureshi Jean-Julien Rojer
14 July 2012	ATP Vegeta Croatia Open Umag , Umag, Croatia	Clay	Fernando Verdasco	Marcel Granollers Marc López
22 July 2012	International German Open , Hamburg, Germany	Clay	Fernando Verdasco	Rogério Dutra da Silva Daniel Muñoz de la Nava
28 October 2012	Valencia Open 500 , Valencia, Spain	Hard (i)	Fernando Verdasco	Alexander Peya Bruno Soares
2 March 2013	Abierto Mexicano Telcel , Acapulco, Mexico	Clay	Łukasz Kubot	Simone Bolelli Fabio Fognini
27 July 2013	ATP Vegeta Croatia Open Umag , Umag, Croatia	Clay	Martin Kližan	Nicholas Monroe Simon Stadler
22 September 2013	St. Petersburg Open , St. Petersburg, Russia	Hard (i)	Fernando Verdasco	Dominic Inglot Denis Istomin
13 October 2013	Shanghai Rolex Masters , Shanghai, China	Hard	Fernando Verdasco	Ivan Dodig Marcelo Melo
