Player	Date of birth (age when delisted)	Draft details	Rookie list	Senior list
Tom Allwright Category:Articles with hCards	15 June 1990 (aged 20)	2009 Rookie Draft , pick 46	2009–2010	N/A
Nick Batchelor Category:Articles with hCards	11 September 1986 (aged 20)	2005 Rookie Draft , pick 29	2005–2006*	N/A
Ryan Bathie Category:Articles with hCards	15 April 1987 (age26)	2011 Rookie Draft , pick 71	2011–2013	N/A
Liam Bedford Category:Articles with hCards	12 July 1988 (aged 20)	2007 Rookie Draft , pick 23	2007–2008	N/A
Jason Davenport Category:Articles with hCards	1 September 1985 (aged 23)	2007 Rookie Draft , pick 38	2007	2008
Adam Donohue Category:Articles with hCards	22 February 1990 (aged 19)	2007 National Draft , pick 60 ( F/S )	N/A	2008–2009
Marcus Drum Category:Articles with hCards	1 May 1987 (aged 24)	Traded from Fremantle in 2009.	N/A	2010–2011
Cameron Eardley Category:Articles with hCards	24 June 1993 (age20)	2012 Rookie Draft , pick 18	2012–2013	N/A
Ranga Ediriwickrama Category:Articles with hCards	10 August 1990 (aged 20)	2009 Rookie Draft , pick 60	2009–2010	N/A
Todd Grima Category:Articles with hCards	5 February 1987 (aged 20)	2006 Rookie Draft , pick 12	2006–2007	N/A
Sam Hunt Category:Articles with hCards	13 April 1983 (aged 24)	2006 Rookie Draft , pick 41	2006	2007
Ben Johnson Category:Articles with hCards	13 February 1987 (aged 24)	2010 Rookie Draft , pick 37	2010–2011	N/A
Chris Kangars Category:Articles with hCards	1 August 1989 (aged 19)	2008 Rookie Draft , pick 46	2008	N/A
Dan McKenna Category:Articles with hCards	29 June 1989 (aged 20)	2007 National Draft , pick 50	N/A	2008–2009
Brodie Moles Category:Articles with hCards	7 November 1985 (aged 23)	2008 Rookie Draft , pick 16	2008–2009	N/A
Stephen Owen Category:Articles with hCards	19 July 1987 (aged 20)	2005 National Draft , pick 35	N/A	2006–2007
Joel Reynolds Category:Articles with hCards	5 June 1984 (aged 23)	2007 Rookie Draft , pick 7	2007	N/A
Tim Sheringham Category:Articles with hCards	26 August 1986	2005 Rookie Draft , pick 43	2005–2006	N/A
Scott Simpson Category:Articles with hCards	19 October 1989 (aged 19)	2007 National Draft , pick 44	N/A	2008–2009
Adam Varcoe Category:Articles with hCards	31 December 1990 (aged 19)	2009 Rookie Draft , pick 15	2009–2010	N/A
Bryn Weadon Category:Articles with hCards	22 October 1989 (aged 19)	2009 Rookie Draft , pick 31	2009	N/A
Jack Weston Category:Articles with hCards	3 April 1991 (aged 20)	2010 Rookie Draft , pick 21	2010–2011	N/A
