Season	Series	Team	Races	Wins	Poles	Podiums	Points	Position
2006	Formula Renault Campus France	La Filière	13	1	2	8	162	3rd
2007	Eurocup Formula Renault 2.0	SG Formula	14	1	2	6	88	3rd
2007	French Formula Renault 2.0	SG Formula	13	0	1	4	69	4th
2008	Formula Renault 3.5 Series	Tech 1 Racing	17	2	1	4	69	6th
2009	Formula Renault 3.5 Series	Tech 1 Racing	16	2	2	3	94	3rd
2009–10	GP2 Asia Series	Arden International	8	1	1	2	18	5th
2010	GP2 Series	Arden International	20	1	1	2	28	10th
2011	GP2 Asia Series	Barwa Addax Team	4	0	0	0	0	18th
2011	GP2 Series	Barwa Addax Team	18	2	3	5	52	4th
2012	Formula One	Marussia F1 Team	20	0	0	0	0	21st
2013	Formula One	Caterham F1 Team	16	0	0	0	0	20th*
