Player	Team	Matches	Overs	Runs	Wickets	Best	Econ	S/Rate	4/inns	5+/inns	Average
Yasir Arafat	Kent Spitfires	13	44	341	23	4/17	7.75	11.48	2	0	14.82
Tyron Henderson	Middlesex Crusaders	12	47	349	21	4/29	7.42	13.43	1	0	16.61
Andrew Hall	Northamptonshire Steelbacks	9	34.1	271	20	6/21	7.93	10.25	0	2	13.55
Danish Kaneria	Essex Eagles	12	45.1	276	20	4/22	6.11	13.55	1	0	13.80
Tim Murtagh	Middlesex Crusaders	13	50	400	20	3/15	8.00	15.00	0	0	20.00
Johann Louw	Northamptonshire Steelbacks	11	39	325	17	3/18	8.33	13.76	0	0	19.12
James Tredwell	Kent Spitfires	13	41	264	16	3/9	6.43	15.38	0	0	16.50
Graham Napier	Essex Eagles	12	40.1	282	16	4/10	7.02	15.06	1	0	17.62
Ian Salisbury	Warwickshire Bears	10	32	175	15	3/14	5.47	12.80	0	0	11.67
Abdul Razzaq	Surrey Brown Caps	9	32	232	15	4/17	7.25	12.80	1	0	15.47
