Goal	Date	Venue	Score	Result	Competition
1	28 February 1984	Hampden Park , Glasgow	2–1	2–1	BHC
2	12 September 1984	Hampden Park , Glasgow	5–1	6–1	Friendly
3	14 November 1984	Hampden Park , Glasgow	1–0	3–1	WCQG7
4	14 November 1984	Hampden Park , Glasgow	2–0	3–1	WCQG7
5	12 November 1986	Hampden Park , Glasgow	3–0	3–0	ECQG7
6	17 February 1988	King Fahd Stadium , Riyadh	1–1	2–2	Friendly
7	14 September 1988	Ullevaal Stadion , Oslo	2–1	2–1	WCQG5
8	19 October 1988	Hampden Park , Glasgow	1–0	1–1	WCQG5
9	8 February 1989	Tsirion Stadium , Limassol	1–0	3–2	WCQG5
10	8 March 1989	Hampden Park , Glasgow	1–0	2–0	WCQG5
11	8 March 1989	Hampden Park , Glasgow	2–0	2–0	WCQG5
12	26 April 1989	Hampden Park , Glasgow	1–0	2–1	WCQG5
13	19 May 1990	Hampden Park , Glasgow	1–0	1–1	Friendly
14	16 June 1990	Stadio Luigi Ferraris , Genoa	2–0	2–1	WCGC
