Year	Theme	Artist	Mintage	Issue price
2002	15th Anniversary Loonie	Dora de Pédery-Hunt	67,672	$39.95
2004	Jack Miner Bird Sanctuary	Susan Taylor	46,493	$39.95
2005	Tufted Puffin	N/A	39,818	$39.95
2006	Snowy Owl	Glen Loates	39,935	$44.95
2007	Trumpeter Swan	Kerri Burnett	40,000	$45.95
2008	Common Eider	Mark Hobson	40,000	$47.95
2009	Great Blue Heron	Chris Jordison	40,000	$47.95
2010	Northern Harrier	Arnold Nogy	35,000	$49.95
2011	Great Gray Owl	Arnold Nogy	35,000	$49.95
2012	25th Anniversary Loonie	Arnold Nogy	35,000	$49.95
