Season	Episodes	Timeslot (EST)	Season premiere	Season finale	TV season	Ranking	Viewers (in millions)
1	22	Monday 9:00p.m. (1999) Friday 10:00p.m. (2000)	September 20, 1999	May 19, 2000	1999–2000	33rd	12.18
2	21	Friday 10:00p.m.	October 20, 2000	May 11, 2001	2000–01	29th	13.1
3	23	Friday 10:00p.m.	September 28, 2001	May 17, 2002	2001–02	14th	15.2
4	25	Friday 10:00p.m.	September 27, 2002	May 16, 2003	2002–03	16th	14.83
5	25	Tuesday 10:00p.m.	September 23, 2003	May 18, 2004	2003–04	21st	12.72
6	23	Tuesday 10:00p.m.	September 21, 2004	May 24, 2005	2004–05	23rd	13.46
7	22	Tuesday 10:00p.m.	September 20, 2005	May 16, 2006	2005–06	24th	13.78
8	22	Tuesday 10:00p.m.	September 19, 2006	May 22, 2007	2006–07	38th	11.94
9	19	Tuesday 10:00p.m.	September 25, 2007	May 13, 2008	2007–08	30th	11.33
10	22	Tuesday 10:00p.m.	September 23, 2008	June 2, 2009	2008–09	39th	10.11
11	24	Wednesday 9:00p.m. Wednesday 10:00p.m.	September 23, 2009	May 19, 2010	2009–10	44th	8.81
13	23	Wednesday 10:00p.m.	September 21, 2011	May 23, 2012	2011–12	67th	7.59
14	24	Wednesday 9:00p.m.	September 26, 2012	May 22, 2013	2012–13	56th	7.30
