Game #	Date	Visitor	Score	Home	Decision	Attendance	Record	Points
27	December 1	Pittsburgh	2–4	Toronto	Toskala	19,534	10–11–6	26
28	December 4	Nashville	1–3	Toronto	Toskala	19,400	11–11–6	28
29	December 6	Toronto	6–2	N.Y. Rangers	Toskala	18,200	12–11–6	30
30	December 8	Boston	2–1	Toronto	Toskala	19,441	12–12–6	30
31	December 10	Tampa Bay	1–6	Toronto	Toskala	19,454	13–12–6	32
32	December 14	Toronto	4–0	Atlanta	Toskala	16,424	14–12–6	34
33	December 15	Toronto	1–4	Montreal	Toskala	21,273	14–13–6	34
34	December 18	Toronto	2–3	Carolina	Toskala	17,045	14–13–7	35
35	December 20	Toronto	1–2	Tampa Bay	Toskala	19,131	14–14–7	35
36	December 22	Toronto	2–1	Florida	Toskala	18,500	15–14–7	37
37	December 26	Toronto	3–4	N.Y. Islanders	Raycroft	15,301	15–14–8	38
38	December 27	Toronto	1–4	Philadelphia	Raycroft	19,727	15–15–8	38
39	December 29	N.Y. Rangers	6–1	Toronto	Raycroft	19,408	15–16–8	38
