Pos	Team	07 A Pts	08 C Pts	08 A Pts	09 C Pts	09 A Pts	10 C Pts	Total Pts	Total Pld	Avg
1	Toluca	34	27	27	36	35	30	189	102	1.8529
2	Santos Laguna	38	31	22	22	27	28	168	102	1.6471
3	Guadalajara	31	33	25	21	19	32	161	102	1.5842
4	Cruz Azul	25	31	26	13	33	25	153	102	1.5
5	Pachuca	24	22	21	36	24	25	152	102	1.4902
6	Monterrey	14	24	19	26	30	36	149	102	1.4608
7	Morelia	22	18	24	22	33	25	144	102	1.4118
8	UNAM	24	20	26	28	17	28	143	102	1.402
9	San Luis	29	30	29	17	21	14	140	102	1.3725
10	América	26	11	21	23	30	25	136	102	1.3333
11	Atlante	33	17	27	17	23	16	133	102	1.3039
12	Puebla	17	21	15	26	26	19	124	102	1.2157
13	Estudiantes Tecos	17	17	25	25	20	19	123	102	1.2059
14	Chiapas	18	26	18	21	19	19	121	102	1.1863
15	Atlas	12	23	22	21	18	24	120	102	1.1765
16	Querétaro	0	0	0	0	18	21	39	34	1.1471
17	UANL	16	19	26	14	22	19	116	102	1.1373
