Country	Athlete	Technical	Free	Total
Russia	Anastasia Davydova & Anastasiya Yermakova	49.334	49.917	99.251
Spain	Andrea Fuentes & Gemma Mengual	48.834	49.500	98.334
Japan	Saho Harada & Emiko Suzuki	48.250	48.917	97.167
China	Jiang Tingting & Jiang Wenwen	48.084	48.250	96.334
United States	Christina Jones & Andrea Nott	47.750	47.750	95.500
Canada	Marie-Pier Boudreau Gagnon & Isabelle Rampling	47.417	47.667	95.084
Italy	Beatrice Adelizzi & Giulia Lapi	46.834	46.917	93.751
Ukraine	Darya Yushko & Kseniya Sydorenko	46.084	46.584	92.668
Netherlands	Bianca van der Velden & Sonja van der Velden	45.584	46.083	91.667
Greece	Evanthia Makrygianni & Despoina Solomou	45.834	45.667	91.501
France	Apolline Dreyfuss & Lila Meesseman-Bakir	44.750	45.583	90.333
Switzerland	Magdalena Brunner & Ariane Schneider	44.250	45.000	89.250
