Date	Tournament	Winning score	To par	Margin of victory
1 Sep 2003	Deutsche Bank Championship	69-62-67-66=264	–20	4 strokes
28 Mar 2004	The Players Championship	65-72-69-70=276	–12	1 stroke
27 Jun 2004	Booz Allen Classic	66-62-67-68=263	–21	4 strokes
21 Feb 2005	Nissan Open *	67-66=133	–9	Playoff
5 Nov 2006	The Tour Championship	69-67-67-66=269	–11	3 strokes
1 Apr 2007	Shell Houston Open	69-71-65-66=271	–17	3 strokes
27 Apr 2008	EDS Byron Nelson Championship	68-67-67-71=273	–7	Playoff
16 May 2010	Valero Texas Open	71-70-66-67=274	–14	1 stroke
7 Aug 2011	WGC-Bridgestone Invitational	62-70-66-65=263	–17	4 strokes
14 Apr 2013	Masters Tournament	69-72-69-69=279	–9	Playoff
25 Aug 2013	The Barclays	69-66-72-66=273	–11	1 stroke
