Year	Date	Driver	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)
1988	July 2	Rob Moroso	Oldsmobile	200	107.6 (173.165)	1:36:04	66.971
1989	July 4	Jimmy Spencer	Buick	200	107.6 (173.165)	1:25:01	75.938
1990	June 30	Mark Martin	Ford	200	107.6 (173.165)	1:24:52	76.072
1991	June 22	Chuck Bown	Pontiac	250	134.5 (216.456)	1:49:15	73.867
1992	June 20	Jimmy Spencer	Oldsmobile	250	134.5 (216.456)	2:21:14	57.139
1993	June 12	Jeff Burton	Ford	250	134.5 (216.456)	1:56:59	68.984
1994	June 11	Elton Sawyer	Ford	250	134.5 (216.456)	2:01:18	66.529
1995	June 10	Larry Pearson	Chevrolet	250	134.5 (216.456)	1:41:23	79.599
1996	June 22	David Green	Chevrolet	250	134.5 (216.456)	1:53:35	71.049
1997	July 12	Elliott Sadler	Chevrolet	250	134.5 (216.456)	1:39:07	81.419
1998	July 11	Randy LaJoie	Chevrolet	250	134.5 (216.456)	1:36:56	80.754
1999	July 17	Jeff Green	Chevrolet	250	134.5 (216.456)	1:35:52	84.179
