Institution	Location (all in Ohio)	Nickname	Founded	Type	Enrollment	Joined	Left	Current Conference
Ashland University	Ashland	Eagles	1878	Private/Brethren	5,701	1931	1948	GLIAC (NCAA Division II)
Bowling Green State University	Bowling Green	Falcons	1910	Public	22,882	1933	1942	Mid-American (MAC) (NCAA Division I)
Kent State University	Kent	Golden Flashes	1910	Public	34,056	1932	1951	Mid-American (MAC) (NCAA Division I)
Kenyon College	Gambier	Lords (men's) Ladies (women's)	1824	Private/Episcopal	1,640	1902	1984	NCAC
Oberlin College	Oberlin	Yeomen (men's) Yeowomen (women's)	1833	Private/Non-sectarian	2,850	1902	1984	NCAC
Ohio State University	Columbus	Buckeyes	1870	Public	52,568	1902	1912	Big Ten (NCAA Division I)
Ohio University	Athens	Bobcats	1804	Public	20,437	1910	1928	Mid-American (MAC) (NCAA Division I)
University of Cincinnati	Cincinnati	Bearcats (after 1914)	1819	Public	39,667 (2009-10 academic year)	1910	1924	The American (NCAA Division I)
University of Toledo	Toledo	Rockets	1872	Public	19,706	1932	1949	Mid-American (MAC) (NCAA Division I)
The College of Wooster	Wooster	Fighting Scots	1866	Private/Presbyterian	1,827	1907	1984	NCAC
