Game	Date	Opponent	Score	Location/Attendance	Record
8	November 1	San Francisco	109-105	Alexander Memorial Coliseum	4-4
9	November 3	Boston	103-123	Alexander Memorial Coliseum	4-5
10	November 6	Baltimore	119-140	Baltimore Civic Center	4-6
11	November 8	San Diego	114-101	Alexander Memorial Coliseum	5-6
12	November 9	San Francisco	113-106	Alexander Memorial Coliseum	6-6
13	November 12	San Francisco	108-123	Oakland-Alameda County Coliseum Arena	6-7
14	November 13	Seattle	142-113	Seattle Center Coliseum	7-7
15	November 15	Philadelphia	115-116	Alexander Memorial Coliseum	7-8
16	November 16	Cincinnati	125-130	Cincinnati Gardens	7-9
17	November 19	Milwaukee	89-119	Milwaukee Arena	7-10
18	November 20	New York	111-106	Alexander Memorial Coliseum	8-10
19	November 21	Detroit	129-121	Cobo Arena	9-10
20	November 23	Chicago	114-96	Chicago Stadium	10-10
21	November 24	Baltimore	111-118	Alexander Memorial Coliseum	10-11
22	November 26	Baltimore	99-102	Baltimore Civic Center	10-12
23	November 27	Cincinnati	94-91	Alexander Memorial Coliseum	11-12
24	November 30	Cincinnati	126-109	Cincinnati Gardens	12-12
