Year	Tournament	Venue	Result	Extra
1991	European Junior Championships	Thessaloniki , Greece	1st	4x100 m relay
1992	World Junior Championships	Seoul , South Korea	3rd	4x100 m relay
1997	World Championships	Athens , Greece	4th	4x100 m relay
1998	European Indoor Championships	Valencia , Spain	4th	200 m
1998	European Championships	Munich , Germany	2nd	4x100 m relay
1998	World Cup	Johannesburg , South Africa	3rd	4x100 m relay
1999	World Indoor Championships	Maebashi , Japan	6th	200 m
2000	European Indoor Championships	Ghent , Belgium	4th	200 m
2001	World Indoor Championships	Lisbon , Portugal	3rd	4x400 m relay
2001	World Championships	Edmonton , Canada	1st	4x100 m relay
2002	European Championships	Munich , Germany	8th	400 m
2002	European Championships	Munich , Germany	1st	4x400 m relay
2002	World Cup	Madrid , Spain	5th	4x100 m relay
2002	World Cup	Madrid , Spain	6th	4x400 m relay
2003	World Championships	Paris , France	4th	4x400 m relay
