Rank	Rider	Team	Speed	Time
1	Cameron Donald	Suzuki GSXR 1000cc	126.826mph	1:47.16.66
2	Bruce Anstey	Suzuki GSXR 1000cc	126.614mph	1:48.16.66
3	Adrian Archibald	Suzuki GSXR 1000cc	125.034mph	1:49.37.97
4	Gary Johnson	Honda Fireblade 1000cc	124.372mph	1:49.12.67
5	Ian Lougher	Yamaha R1 1000cc	124.018mph	1:49.31.38
6	Ryan Farquhar	Kawasaki ZX10-R 1000cc	123.936mph	1:49.35.70
7	Keith Amor	Honda Fireblade 1000cc	122.838mph	1:50.34.50
8	Daniel Stewart	Honda CBR 1000cc	122.815mph	1:50.35.73
9	Carl Rennie	Suzuki GSXR 1000cc	122.423mph	1:50.57.00
10	Steve Plater	Yamaha R1 1000cc	122.233mph	1:51.07.34
