Game	November	Opponent	Score	Decision	Record
14	1	@ Toronto Maple Leafs	5 - 2	Valiquette	10-3-1
15	4	New York Islanders	2 - 1	Lundqvist	10-4-1
16	6	Tampa Bay Lightning	5 - 2	Lundqvist	11-4-1
17	8	@ Washington Capitals	3 - 1	Lundqvist	11-5-1
18	10	Edmonton Oilers	3 - 2 SO	Lundqvist	11-5-2
19	12	@ New Jersey Devils	5 - 2	Lundqvist	12-5-2
20	15	Boston Bruins	3 - 2 SO	Lundqvist	13-5-2
21	17	Ottawa Senators	2 - 1 SO	Lundqvist	14-5-2
22	19	Vancouver Canucks	6 - 3	Lundqvist	14-6-2
23	22	@ Ottawa Senators	4 - 1	Valiquette	14-7-2
24	24	Phoenix Coyotes	4 - 1	Lundqvist	15-7-2
25	26	@ Tampa Bay Lightning	3 - 2 SO	Lundqvist	16-7-2
26	28	@ Florida Panthers	4 - 3 SO	Lundqvist	17-7-2
27	30	Florida Panthers	4 - 0	Lundqvist	17-8-2
