Date	Three	Four	Five	Seven
7 June 1660	vacant	vacant	vacant	vacant
8 June 1660	vacant	vacant	vacant	vacant
11 June 1660	Edward Bowman	Francis Bowman	Nathaniel Darrell	vacant
14 June 1660	Edward Bowman	Francis Bowman	Nathaniel Darrell	Thomas Duppa
20 June 1660	Edward Bowman	Francis Bowman	Nathaniel Darrell	Thomas Duppa
29 January 1661	Edward Bowman	Francis Bowman	Robert Barcroft	Thomas Duppa
11 October 1662	Edward Bowman	Francis Bowman	Robert Barcroft	vacant
29 July 1664	Edward Bowman	Francis Bowman	Henry Barcroft	vacant
16 August 1664	Edward Bowman	Francis Bowman	Henry Barcroft	Ralph Whistler
10 April 1665	Edward Bowman	Francis Bowman	Henry Barcroft	Ralph Whistler
19 May 1665	Edward Bowman	Francis Bowman	Thomas Bambriggs	Ralph Whistler
20 August 1666	Edward Bowman	Francis Bowman	Peter Watson	Ralph Whistler
19 April 1669	Edward Bowman	Francis Bowman	Peter Watson	Ralph Whistler
16 December 1670	Edward Bowman	Francis Bowman	Peter Watson	Ralph Whistler
18 May 1672	Edward Bowman	Francis Bowman	Peter Watson	Ralph Whistler
29 September 1673	Edward Bowman	Francis Bowman	Peter Watson	Ralph Whistler
4 November 1673	Edward Bowman	Francis Bowman	Humphrey Graves	Ralph Whistler
1 June 1674	Edward Bowman	Jeremiah Bubb	Humphrey Graves	Ralph Whistler
3 March 1675	Edward Bowman	Jeremiah Bubb	Humphrey Graves	Ralph Whistler
16 December 1676	Edward Bowman	Jeremiah Bubb	John Packer	Ralph Whistler
2 August 1677	Edward Bowman	Jeremiah Bubb	John Packer	Ralph Whistler
16 September 1677	Edward Bowman	Jeremiah Bubb	John Packer	Ralph Whistler
1 September 1679	Charles Richards	Jeremiah Bubb	John Packer	Ralph Whistler
23 April 1681	Charles Richards	Jeremiah Bubb	John Packer	Ralph Whistler
20 July 1682	Charles Richards	Jeremiah Bubb	John Packer	Ralph Whistler
