Year	Winner and nominees	Original title	Country	Director
2010 (25th)	The King's Speech	The King's Speech	United Kingdom	Tom Hooper
2010 (25th)	The Ghost Writer	The Ghost Writer	France Germany United Kingdom	Roman Polanski
2010 (25th)	A Prophet	Un prophète	France	Jacques Audiard
2010 (25th)	The White Ribbon	Das weisse Band - Eine deutsche Kindergeschichte	Germany	Michael Haneke
2011 (26th)	The Artist	The Artist	France	Michel Hazanavicius
2011 (26th)	Jane Eyre	Jane Eyre	United Kingdom	Cary Joji Fukunaga
2011 (26th)	Melancholia	Melancholia	Denmark	Lars Von Trier
2011 (26th)	Carnage	Carnage	France	Roman Polanski
2012 (27th)	The Intouchables	Intouchables	France	Olivier Nakache & Éric Toledano
2012 (27th)	Rust and Bone	De rouille et d'os	France Belgium	Jacques Audiard
2012 (27th)	In the House	Dans la maison	France	François Ozon
2012 (27th)	Shame	Shame	United Kingdom	Steve McQueen
