Player	Nationality	Position	Years for Grizzlies	School/Club Team
Hakim Warrick	United States	Forward	2005-2009	Syracuse
Earl Watson	United States	Point guard	2002-2005	UCLA
Bonzi Wells	United States	Guard-Forward	2004-2005	Ball State
Doug West	United States	Guard-Forward	1998-2001	Villanova
DeJuan Wheat	United States	Point guard	1998-1999	Louisville
Gerald Wilkins	United States	Guard-Forward	1995-1996	Chattanooga
Aaron Williams	United States	Power forward / Center	1996-1997	Xavier
Jason Williams	United States	Point guard	2001-2005; 2011-2012	Florida
Lorenzen Wright	United States	Power forward / Center	2001-2006	Memphis
Tony Wroten	United States	Shooting guard	2012–present	Washington
