Place	Player	Country	Score	To par
1	Tiger Woods	United States	66-67=133	–11
2	Scott Dunlap	United States	66-68=134	–10
T3	Fred Funk	United States	69-68=137	–7
T3	J. P. Hayes	United States	69-68=137	–7
T3	Davis Love III	United States	68-69=137	–7
T6	Notah Begay III	United States	72-66=138	–6
T6	Bob May	United States	72-66=138	–6
8	Stuart Appleby	Australia	70-69=139	-5
T9	Stephen Ames	Trinidad and Tobago	69-71=140	–4
T9	Thomas Bjørn	Denmark	72-68=140	–4
T9	Greg Chalmers	Australia	71-69=140	–4
T9	Darren Clarke	Northern Ireland	68-72=140	–4
T9	Phil Mickelson	United States	70-70=140	–4
T9	David Toms	United States	72-68=140	–4
