Week	Date	Opponent	Result	Game site	Attendance
1	1975-09-21	at Buffalo Bills	L 42–14	Rich Stadium	77,837
2	1975-09-28	at Kansas City Chiefs	W 30–24	Arrowhead Stadium	73,939
3	1975-10-05	New England Patriots	W 36–7	Shea Stadium	57,365
4	1975-10-12	at Minnesota Vikings	L 29–21	Metropolitan Stadium	47,739
5	1975-10-19	Miami Dolphins	L 43–0	Shea Stadium	47,191
6	1975-10-26	Baltimore Colts	L 45–28	Shea Stadium	55,137
7	1975-11-02	Buffalo Bills	L 24–23	Shea Stadium	58,343
8	1975-11-09	at Miami Dolphins	L 27–7	Miami Orange Bowl	72,896
9	1975-11-16	at Baltimore Colts	L 52–19	Memorial Stadium	52,097
10	1975-11-23	St. Louis Cardinals	L 37–6	Shea Stadium	53,169
11	1975-11-30	Pittsburgh Steelers	L 20–7	Shea Stadium	52,618
12	1975-12-07	at New England Patriots	W 30–28	Schafer Stadium	53,989
13	1975-12-15	at San Diego Chargers	L 24–16	San Diego Stadium	49,706
14	1975-12-21	Dallas Cowboys	L 31–21	Shea Stadium	37,279
