Rank	Gymnast	Difficulty score	Routine score	Total
1	Natalia Chernova ( RUS )	—	28.10	66.80
1	Natalia Chernova ( RUS )	14.0	38.70	66.80
2	Anna Dogonadze ( GER )	—	27.30	66.70
2	Anna Dogonadze ( GER )	14.2	39.40	66.70
3	Olena Movchan ( UKR )	—	27.80	65.80
3	Olena Movchan ( UKR )	14.1	38.00	65.80
4	Huang Shanshan ( CHN )	—	26.40	65.40
4	Huang Shanshan ( CHN )	14.0	39.00	65.40
5	Karen Cockburn ( CAN )	—	27.00	65.10
5	Karen Cockburn ( CAN )	14.2	38.10	65.10
6	Heather Ross-McManus ( CAN )	—	26.80	63.80
6	Heather Ross-McManus ( CAN )	14.0	37.00	63.80
7	Haruka Hirota ( JPN )	—	26.90	63.00
7	Haruka Hirota ( JPN )	12.8	36.10	63.00
8	Andrea Lenders ( NED )	—	27.40	62.70
8	Andrea Lenders ( NED )	12.7	35.30	62.70
9	Rusudan Khoperia ( GEO )	—	26.30	62.50
9	Rusudan Khoperia ( GEO )	13.8	36.20	62.50
10	Katerina Prokesova ( SVK )	—	25.90	61.90
10	Katerina Prokesova ( SVK )	13.2	36.00	61.90
11	Ekaterina Khilko ( UZB )	—	26.80	61.60
11	Ekaterina Khilko ( UZB )	13.1	34.80	61.60
12	Kirsten Lawton ( GBR )	—	27.60	60.20
12	Kirsten Lawton ( GBR )	11.8	32.60	60.20
13	Lesley Daly ( AUS )	—	25.80	58.90
13	Lesley Daly ( AUS )	13.0	33.10	58.90
14	Jennifer Parilla ( USA )	—	26.90	52.70
14	Jennifer Parilla ( USA )	10.7	25.80	52.70
15	Irina Karavaeva ( RUS )	—	27.10	39.90
15	Irina Karavaeva ( RUS )	6.2	12.80	39.90
16	Tatiana Petrenia ( BLR )	—	27.60	32.90
16	Tatiana Petrenia ( BLR )	3.4	5.30	32.90
