Year	Winner	Score	Opponent	Venue
1984	UTEP	62–55	New Mexico	Special Events Center ( El Paso, Texas )
1985	San Diego State	87–81	UTEP	Special Events Center ( El Paso, Texas )
1986	UTEP	65–64	Wyoming	Arena-Auditorium ( Laramie, Wyoming )
1987	Wyoming	64–62	New Mexico	The Pit ( Albuquerque, New Mexico )
1988	Wyoming	79–75	UTEP	Marriott Center ( Provo, Utah )
1989	UTEP	73–60	Colorado State	Jon M. Huntsman Center ( Salt Lake City, Utah )
1990	UTEP	75–58	Hawai ʻ i	Special Events Center ( El Paso, Texas )
1991	BYU	51–49	Utah	Arena-Auditorium ( Laramie, Wyoming )
1992	BYU	73–71	UTEP	Moby Arena ( Fort Collins, Colorado )
1993	New Mexico	76–65	UTEP	Delta Center ( Salt Lake City, Utah )
1994	Hawai ʻ i	73–66	BYU	Delta Center ( Salt Lake City, Utah )
1995	Utah	67–54	Hawaii	The Pit ( Albuquerque, New Mexico )
1996	New Mexico	64–60	Utah	The Pit ( Albuquerque, New Mexico )
1997	Utah	89–68	TCU	Thomas & Mack Center ( Paradise , Nevada )
1998	UNLV	56–51	New Mexico	Thomas & Mack Center ( Paradise , Nevada )
1999	Utah	60–45	New Mexico	Thomas & Mack Center ( Paradise , Nevada )
2000	Fresno State	75–72	Tulsa	Selland Arena ( Fresno, California )
2001	Hawai ʻ i	78–72	Tulsa	Reynolds Center ( Tulsa, Oklahoma )
2002	Hawai ʻ i	73–59	Tulsa	Reynolds Center ( Tulsa, Oklahoma )
2003	Tulsa	75–64	Nevada	Reynolds Center ( Tulsa, Oklahoma )
2004	Nevada	66–60	UTEP	Save Mart Center ( Fresno, California )
2005	UTEP	91–78	Boise State	Lawlor Events Center ( Reno, Nevada )
2006	Nevada	70–63	Utah State	Lawlor Events Center ( Reno, Nevada )
2007	New Mexico State	72–70	Utah State	Pan American Center ( Las Cruces, New Mexico )
2008	Boise State	107–102 (3ot)	New Mexico State	Pan American Center ( Las Cruces, New Mexico )
2009	Utah State	72–62	Nevada	Lawlor Events Center ( Reno, Nevada )
2010	New Mexico State	69–63	Utah State	Lawlor Events Center ( Reno, Nevada )
2011	Utah State	77–69	Boise State	Orleans Arena ( Paradise , Nevada )
2012	New Mexico State	82–57	Louisiana Tech	Orleans Arena ( Paradise , Nevada )
2013	New Mexico State	64–55	Texas–Arlington	Orleans Arena ( Paradise , Nevada )
