Player	Nationality	Position	Years for Jazz	School/Club Team
Stu Lantz	United States	Guard	1974-75	Nebraska
Rusty LaRue	United States	Guard	2001-02	Wake Forest
Eric Leckner	United States	Forward-Center	1988-90	Wyoming
Ron Lee	United States	Guard	1979-80	Oregon
Russell Lee	United States	Guard-Forward	1974-75	Marshall
Tim Legler	United States	Guard	1992	La Salle
Jim Les	United States	Guard	1988-89	Bradley
Quincy Lewis	United States	Forward	1999-2002	Minnesota
Randy Livingston	United States	Guard	2004-05	LSU
Raúl López	Spain	Guard	2003-2005	Real Madrid ( Spain )
Myke Lyons	United States	Guard	2007	Liberty
