Year	Starts	Wins	Top 5	Top 10	Poles	Avg. Start	Avg. Finish	Winnings	Position	Team(s)
1990	4	0	0	0	0	27.8	31.0	$17,190	49th	#50 Ted Musgrave Racing #2 U.S. Motorsports Inc.
1991	29	0	0	0	0	29.6	22.0	$200,910	23rd	#55 U.S. Motorsports Inc.
1992	29	0	1	7	0	24.3	16.7	$449,121	18th	#55 RaDiUs Motorsports
1993	29	0	2	5	0	21.7	22.0	$458,615	25th	#55 RaDiUs Motorsports
1994	31	0	1	8	3	20.0	17.4	$656,187	13th	#16 Roush Racing
1995	31	0	7	13	1	17.6	13.2	$1,147,445	7th	#16 Roush Racing
1996	31	0	2	7	1	21.2	17.6	$961,512	16th	#16 Roush Racing
1997	32	0	5	8	0	22.5	18.3	$1,256,680	12th	#16 Roush Racing
1999	32	0	0	2	0	27.2	26.5	$1,162,403	33rd	#75 Butch Mock Motorsports
2001	1	0	0	0	0	15.0	29.0	$73,287	64th	#7 Ultra Motorsports
2002	5	0	0	0	0	33.0	24.2	$283,770	50th	#07 Ultra Motorsports #44 Petty Enterprises
