Conference	Regular Season Winner	Conference Player of the Year	Conference Tournament	Tournament Venue (City)	Tournament Winner
Atlantic Coast Conference	North Carolina	Lennie Rosenbluth , North Carolina	1957 ACC Men's Basketball Tournament	Reynolds Coliseum ( Raleigh, North Carolina )	North Carolina
Big Seven Conference	Kansas	Gary Thompson , Iowa State	No Tournament	No Tournament	No Tournament
Big Ten Conference	Indiana & Michigan State	None Selected	No Tournament	No Tournament	No Tournament
Border Conference	Texas Western	None Selected	No Tournament	No Tournament	No Tournament
Ivy League	Yale	None Selected	No Tournament	No Tournament	No Tournament
Mid-American Conference	Miami	None Selected	No Tournament	No Tournament	No Tournament
Missouri Valley Conference	Saint Louis	None Selected	No Tournament	No Tournament	No Tournament
Mountain States Conference	BYU	None Selected	No Tournament	No Tournament	No Tournament
Ohio Valley Conference	Morehead State & Western Kentucky	None Selected	No Tournament	No Tournament	No Tournament
Pacific Coast Conference	California	None Selected	No Tournament	No Tournament	No Tournament
Southeastern Conference	Kentucky	None Selected	No Tournament	No Tournament	No Tournament
Southwest Conference	Southern Methodist	None Selected	No Tournament	No Tournament	No Tournament
