Season	1st Place	2nd Place	3rd Place	4th Place
1987–88	Tracer Milano	Maccabi Tel Aviv	Partizan	Aris
1988–89	Jugoplastika Split	Maccabi Tel Aviv	Aris	Barcelona
1989–90	Jugoplastika Split	Barcelona	Limoges	Aris
1990-91	Pop 84 Split	Barcelona	Maccabi Tel Aviv	Scavolini Pesaro
1991–92	Partizan	Joventut Badalona	Philips Milano	Estudiantes
1992–93	Limoges	Benetton Treviso	PAOK	Real Madrid
1993–94	Joventut Badalona	Olympiacos	Panathinaikos	Barcelona
1994–95	Real Madrid	Olympiacos	Panathinaikos	Limoges
1995–96	Panathinaikos	Barcelona	CSKA Moscow	Real Madrid
1996–97	Olympiacos	Barcelona	Olimpija Ljubljana	Lyon-Villeurbanne
1997–98	Kinder Bologna	AEK Athens	Benetton Treviso	Partizan
1998–99	Žalgiris	Kinder Bologna	Olympiacos	Teamsystem Bologna
1999–00	Panathinaikos	Maccabi Tel Aviv	Efes Pilsen	Barcelona
SuproLeague 2000–01	Maccabi Tel Aviv	Panathinaikos	Efes Pilsen	CSKA Moscow
Euroleague 2000-01	Kinder Bologna	TAU Cerámica	AEK Athens , Fortitudo Bologna	AEK Athens , Fortitudo Bologna
2001–02	Panathinaikos	Kinder Bologna	Benetton Treviso , Maccabi Tel Aviv	Benetton Treviso , Maccabi Tel Aviv
2002–03	Barcelona	Benetton Treviso	Montepaschi Siena	CSKA Moscow
2003–04	Maccabi Tel Aviv	Skipper Bologna	CSKA Moscow	Montepaschi Siena
2004–05	Maccabi Tel Aviv	TAU Cerámica	Panathinaikos	CSKA Moscow
2005–06	CSKA Moscow	Maccabi Tel Aviv	TAU Cerámica	Barcelona
2006–07	Panathinaikos	CSKA Moscow	Unicaja Málaga	TAU Cerámica
2007–08	CSKA Moscow	Maccabi Tel Aviv	Montepaschi Siena	TAU Cerámica
2008–09	Panathinaikos	CSKA Moscow	Barcelona	Olympiacos
2009–10	Barcelona	Olympiacos	CSKA Moscow	Partizan
2010–11	Panathinaikos	Maccabi Tel Aviv	Montepaschi Siena	Real Madrid
2011–12	Olympiacos	CSKA Moscow	Barcelona	Panathinaikos
