Pick #	Player	Position	Nationality	NHL team	College/junior/club team
148	Don Porter	Left Wing	Canada	St. Louis Blues	Michigan Technological University (WCHA)
149	Vladimir Kames	Centre	Czechoslovakia	New Jersey Devils	HC Dukla Jihlava (Czechoslovakia)
150	Shannon Deegan	Centre	Canada	Los Angeles Kings	University of Vermont (ECAC)
151	Derek Laxdal	Right Wing	Canada	Toronto Maple Leafs	Brandon Wheat Kings (WHL)
152	Lars Karlsson	Left Wing	Sweden	Detroit Red Wings	Färjestad BK (Sweden)
153	Glenn Greenough	Right Wing	Canada	Chicago Black Hawks	Sudbury Wolves (OHL)
154	Urban Nordin	Centre	Sweden	Detroit Red Wings	Modo Hockey (Sweden)
155	Jim Vesey	Centre	United States	St. Louis Blues	Columbus High School (USHS-MA)
156	Brad Jones	Centre	United States	Winnipeg Jets	University of Michigan (CCHA)
157	Jim Agnew	Defence	Canada	Vancouver Canucks	Brandon Wheat Kings (WHL)
158	Brad McCaughey	Right Wing	United States	Montreal Canadiens	Ann Arbor High School (USHS-MI)
159	Jiri Hrdina	Centre	Czechoslovakia	Calgary Flames	HC Sparta Praha (Czechoslovakia)
160	Darin MacInnis	Goaltender	United States	Minnesota North Stars	Kent School (USHS-CT)
161	Brian Nelson	Centre	United States	New York Rangers	Willmar High School (USHS-MN)
162	Jyrki Maki	Defence	Finland	Quebec Nordiques	HIFK Helsinki (Finland)
163	Luke Vitale	Centre	Canada	Philadelphia Flyers	Henry Carr Crusaders (MetJHL)
164	Frank Joo	Defence	Canada	Washington Capitals	Regina Pats (WHL)
165	Orwar Stambert	Defence	Sweden	Buffalo Sabres	Djurgardens IF (Sweden)
166	Don Sweeney	Defence	Canada	Boston Bruins	St. Paul's School (USHS-NH)
167	Franco Desantis	Defence	Canada	New York Islanders	Verdun Juniors (QMJHL)
168	Todd Ewen	Right Wing	Canada	Edmonton Oilers	New Westminster Bruins (WHL)
