Match	Date	Competition or tour	Ground	Opponent	Score1
12	28 June	Scandlines Invitation	HR	ZenitSt.Petersburg	2 - 0
2	2 July	—	HR	Lyngby Boldklub	3 - 1
3	8 July	Austrian tour	N	WisłaKraków	1 - 1
4	12 July	Austrian tour	N	Hertha BSC	0 - 0
5	19 August	Anniversary match	A	Taarbæk IF	8 - 0
6	10 October	—	HR	Trelleborgs FF	5 - 0
7	26 November	—	H	BK Frem	6 - 0
8	27 January	—	HR	Malmö FF	4 - 1
9	1 February	Spain tour	N	Dynamo Moscow	1 - 0
10	4 February	Spain tour	AR	Cartagena	2 - 0
11	11 February	—	HR	Lyngby Boldklub	4 - 0
12	14 February	—	HR	Stabæk	4 - 3
13	21 February	—	H	Helsingborgs IF	5 - 2
14	26 March	—	HR	Nordsjælland	0 - 3
