Draw	Song	Performer	Televotes	Rank
1	"Preku moreto"	Tanja Carovska	1339	12
2	"Ne zaboravaj"	Kaliopi	3834	9
3	"Son"	Monika Sokolovska	862	15
4	"Ostani do kraj"	Toše Proeski & Megatim Plus	4210	8
5	"Daj mi pricina da se razbudam"	Tanja, Lidija & Zorica Pancic	2459	11
6	"Samovilska svadba"	Sašo Gigov-Giš	34774	2
7	"Ne baraj me"	Iskra Trpeva & Granit	681	20
8	"Ne veruvam"	Risto Samardziev	8866	5
9	"Daj mi šansa"	Dule & Koki	23615	3
10	"Koj si ti"	Biljana Dodeva	828	16
11	"Te sakam beskrajno"	Pece Ognenov and Adrijana Janevska	1100	13
12	"Bez tebe"	Duo Maratov	764	17
13	"Ljubovta nema granici"	Intervali	694	19
14	"Kameleon"	Maja Grozdanovska & Bumerang	3319	10
15	"Andrea"	Marjan Necak	725	18
16	"Opomena"	Suzana Spasovska	5441	6
17	"Broj do deset"	Maja Vukicevic	908	14
18	" Ne zori, zoro "	Vlado Janevski	38642	1
19	"Ukradeni nokji"	Karolina Gočeva	10454	4
20	"Pari pari"	Mico Atanasiu	4453	7
