Team	Copa Libertadores 1993	Supercopa Sudamericana 1993	Copa CONMEBOL 1993	Recopa Sudamericana 1993	Intercontinental Cup 1993
Atlético Mineiro	Did not qualify	Did not qualify	Semifinals	N/A	N/A
Botafogo	Did not qualify	Did not qualify	Champions	N/A	N/A
Bragantino	Did not qualify	Did not qualify	Round of 16	N/A	N/A
Cruzeiro	Did not qualify	Quarterfinals	Did not qualify	Runner-up	N/A
Flamengo	Quarterfinals	Runner-up	Did not qualify	N/A	N/A
Fluminense	Did not qualify	Did not qualify	Round of 16	N/A	N/A
Grêmio	Did not qualify	Quarterfinals	Did not qualify	N/A	N/A
Internacional	Group stage	Did not qualify	Did not qualify	N/A	N/A
Santos	Did not qualify	Round of 16	Did not qualify	N/A	N/A
São Paulo	Champions	Champions	Did not qualify	Champions	Champions
Vasco	Did not qualify	Did not qualify	Round of 16	N/A	N/A
