Name	Date of Birth	Height	Weight	Spike	Block
Giovane Gávio	07.09.1970	196	89	340	322
André Heller	17.12.1975	199	93	339	321
Mauricio Lima	27.01.1968	184	79	321	304
Gilberto Godoy Filho	23.12.1976	192	85	325	312
André Nascimento	04.03.1979	195	95	340	320
Sérgio Dutra Santos	15.10.1975	184	78	325	310
Anderson Rodrigues	21.05.1974	190	95	330	321
Nalbert Bitencourt	09.03.1974	195	82	329	309
Gustavo Endres	23.08.1975	203	98	337	325
Rodrigo Santana	17.04.1979	205	85	350	328
Ricardo Garcia	19.11.1975	191	89	337	320
Dante Amaral	30.09.1980	201	86	345	327
