Region	HDI	Life expectancy at birth (2001-2002)	Adult literacy rate (2009)	Combined gross enrollment ratio (2009)	GDP (PPP) per capita (2008)
Arica and Parinacota + Tarapacá	0.913	77.1	98.1	94.0	19885
Antofagasta	0.935	75.3	98.4	90.3	48783
Atacama	0.896	77.5	97.7	82.1	19130
Coquimbo	0.867	78.4	96.2	86.6	10170
Valparaíso	0.876	77.2	97.6	91.6	11687
Santiago	0.898	77.9	98.2	90.5	16379
O'Higgins	0.852	76.7	94.0	76.2	12170
Maule	0.831	76.2	92.3	83.7	8012
Biobío	0.853	76.2	94.8	89.0	9342
Araucanía	0.810	76.2	93.1	80.4	5457
Los Ríos + Los Lagos	0.833	75.9	94.8	83.0	7730
Aisén	0.851	76.9	95.6	73.7	10468
Magallanes	0.873	75.7	97.9	86.5	13109
