Player	Nationality	Position	Years for Grizzlies	School/Club Team
Scott Padgett	United States	Forward	2007	Kentucky
Milt Palacio	Belize	Point Guard	1999-2000	Colorado State
Jeremy Pargo	United States	Point guard	2011-2012	Gonzaga
Cherokee Parks	United States	Power forward / Center	1998-2000	Duke
Anthony Peeler	United States	Shooting guard	1996-1997	Missouri
Elliot Perry	United States	Point guard	2001-2002	Memphis
Wesley Person	United States	Shooting guard	2002-2004	Auburn
James Posey	United States	Guard-Forward	2003-2005	Xavier
Leon Powe	United States	Forward	2011-2011	California
Brent Price	United States	Point guard	1999-2001	Oklahoma
Tayshaun Prince	United States	Forward	2013–present	Kentucky
