Name	Team	Qual 1	Qual 2	Best
Sébastien Bourdais	N/H/L Racing	58.783	58.288	58.288
Justin Wilson	RSPORTS	59.099	58.299	58.299
Oriol Servia	Forsythe Racing	58.801	58.661	58.661
Simon Pagenaud	Team Australia	59.341	58.664	58.664
Bruno Junqueira	Dale Coyne Racing	59.547	58.675	58.675
Alex Tagliani	RSPORTS	59.737	58.779	58.779
Will Power	Team Australia	1:01.040	58.790	58.790
Jan Heylen	Conquest Racing	59.813	58.816	58.816
Neel Jani	PKV Racing	1:00.123	58.834	58.834
Paul Tracy	Forsythe Racing	59.368	58.882	58.882
Ryan Dalziel	Pacific Coast Motorsports	59.880	58.912	58.912
Robert Doornbos	Minardi Team USA	59.132	59.024	59.024
Dan Clarke	Minardi Team USA	59.288	59.263	59.263
Tristan Gommendy	PKV Racing	59.624	59.265	59.265
Graham Rahal	N/H/L Racing	59.456	59.384	59.384
Katherine Legge	Dale Coyne Racing	59.520	59.562	59.520
Alex Figge	Pacific Coast Motorsports	1:00.880	59.973	59.973
