gzip	bzip2	LHA/LZH	StuffIt	StuffIt X	ISO/CD Image
Yes [14 ]	Yes [14 ]	No	No	No	No
Yes	Yes	No	No	No	Unknown
No	No	No	No	No	No
Yes	Yes	Yes	Unknown	Unknown	Unknown
Yes	Yes	No	No	No	No
No	No	No	No	No	No
Yes [15 ]	Yes [15 ]	No	No	No	Yes
No	No	No	No	No	No
Yes	Yes	Yes	Unknown	Unknown	No
Yes	No	Yes	No	No	Unknown
Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Yes [1 ]	Yes [1 ]	No	No	No	No
Yes	Yes	No	No	No	No
No	No	No	No	No	No
Yes	Yes	Yes	No	No	No
No	No	No	No	No	Unknown
Yes	Yes	No	No	No	No
Yes	Yes	No	No	No	Unknown
Yes [1 ]	Yes [1 ]	No	No	No	No
Yes	Yes	Yes	Yes	Yes	Unknown
Yes	Yes	Yes	No	No	Unknown
Yes	Yes	Yes	No	No	Yes
No	No	No	No	No	No
No	No	Yes	No	No	No
Yes	Yes	Yes	Unknown	Unknown	Unknown
Yes [7 ]	Yes [7 ]	Yes [8 ]	No	No	No
GZ	BZ/BZ2	LHA/LZH	SIT	SITX	ISO/CD Image
