Year Location	Mens Singles	Womens Singles	Mens Doubles	Womens Doubles
2012 Bremen	Dimitrij Ovtcharov	Shen Yanfei	Jiang Tianyi Wong Chun Ting	Petrissa Solja Sabine Winter
2011 Dortmund	Zhang Jike	Guo Yan	Hao Shuai Zhang Jike	Guo Yue Li Xiaoxia
2010 Berlin	Ma Long	Feng Yalan	Chen Qi Ma Long	Ai Fukuhara Kasumi Ishikawa
2009 Bremen	Timo Boll	Sayaka Hirano	Timo Boll Christian Süß	Li Xiaodan Mu Zi
2008 Berlin	Timo Boll	Liu Jia	Poland	Singapore
2007 Bremen	Ma Long	Li Xiaoxia	Wang Hao Wang Liqin	Guo Yue Li Xiaoxia
2006 Bayreuth	Timo Boll	Wang Yuegu	Werner Schlager Patrick Chila	Li Jiawei Sun Beibei
2005 Magdeburg	Vladimir Samsonov	Cao Zhen	Lee Jung-Woo Oh Sang-Eun	Tie Yana Zhang Rui
2004 Leipzig	Timo Boll	Niu Jianfeng	Timo Boll Christian Süß	Guo Yue Niu Jianfeng
2003 Bremen	Wang Liqin	Zhang Yining	Ko Lai Chak Li Ching	Wang Nan Zhang Yining
2002 Magdeburg	Ma Lin	Tamara Boroš	Kong Linghui Ma Lin	Li Jia Niu Jianfeng
2001 Bayreuth	Vladimir Samsonov	Ryu Ji-Hae	Slobodan Grujic Aleksandar Karakasevic	Kim Bok-Rae Kim Kyung-Ah
