Date and time	Opponent	Venue	Result	Attendance
August 28, 2005 – 15.00	Parma	Away	Drew 1-1	12,733
September 10, 2005 – 18.00	Inter	Home	Won 3-2	31,309
September 18, 2005 – 15.00	Siena	Away	Won 2-1	7,492
September 21, 2005 – 20.30	Reggina	Home	Won 1-0	28,145
September 25, 2005 – 15.00	Lazio	Away	Lost 2-4	23,935
October 2, 2005 – 15.00	Empoli	Home	Drew 2-2	26,642
October 16, 2005 – 15.00	Chievo	Home	Drew 2-2	27,092
October 23, 2005 – 15.00	AC Milan	Away	Lost 1-2	63,115
October 26, 2005 – 20.30	Lecce	Home	Won 3-0	27,084
October 30, 2005 – 20.30	Udinese	Away	Drew 0-0	16,561
November 6, 2005 – 20.30	Sampdoria	Home	Lost 0-2	29,087
November 20, 2005 – 15.00	Treviso	Away	Drew 2-2	5,540
November 27, 2005 – 15.00	Ascoli	Away	Drew 1-1	9,790
December 4, 2005 – 15.00	Cagliari	Home	Drew 2-2	26,209
December 11, 2005 – 15.00	AS Roma	Away	Won 2-1	35,316
December 18, 2005 – 15.00	Livorno	Home	Lost 0-2	26,151
December 21, 2005 – 20.30	Fiorentina	Away	Lost 0-1	29,487
January 7, 2006 – 20.30	Juventus	Home	Lost 1-2	33,149
January 14, 2006 – 20.30	Messina	Away	Drew 0-0	20,233
January 18, 2006 – 20.30	Parma	Home	Won 4-2	26,990
January 21, 2006 – 20.30	Inter	Away	Lost 0-3	48,942
January 28, 2006 – 18.00	Siena	Home	Lost 1-3	26,428
February 5, 2006 – 15.00	Reggina	Away	Drew 2-2	13,683
February 8, 2006 – 20.30	Lazio	Home	Won 3-1	27,074
February 12, 2006 – 15.00	Empoli	Away	Won 1-0	5,379
February 19, 2006 – 15.00	Chievo	Away	Drew 0-0	5,580
February 26, 2006 – 15.00	AC Milan	Home	Lost 0-2	31,868
March 5, 2006 – 15.00	Lecce	Away	Lost 0-2	10,890
March 12, 2006 – 15.00	Udinese	Home	Won 2-0	25,792
March 19, 2006 – 15.00	Sampdoria	Away	Won 2-0	21,073
March 26, 2006 – 15.00	Treviso	Home	Won 1-0	26,025
April 2, 2006 – 15.00	Ascoli	Home	Drew 1-1	26,440
April 9, 2006 – 15.00	Cagliari	Away	Drew 1-1	10,000
April 15, 2006 – 15.00	AS Roma	Home	Drew 3-3	27,855
April 22, 2006 – 15.00	Livorno	Away	Lost 1-3	10,635
April 30, 2006 – 15.00	Fiorentina	Home	Won 1-0	30,056
May 7, 2006 – 15.00	Juventus	Away	Lost 1-2	56,488
May 14, 2006 – 15.00	Messina	Home	Won 1-0	26,558
