Year	Entrant	Chassis	Engine	Points
1965	Ecurie Tomahawk	Lotus 20	Ford Straight-4	0
1967	Scuderia Scribante	Brabham BT11	Coventry Climax	0
1968	Scuderia Scribante	Brabham BT11	Repco	0
1970	Scuderia Scribante	Lotus 49C	Ford Cosworth DFV	0
1971	Brabham Racing Organisation	Brabham BT33	Ford Cosworth DFV	0
1971	Team Lotus	Lotus 72D	Ford Cosworth DFV	0
1972	Scuderia Scribante	Lotus 72D	Ford Cosworth DFV	0
1973	Scuderia Scribante	Lotus 72D	Ford Cosworth DFV	0
1974	Scuderia Scribante	McLaren M23	Ford Cosworth DFV	0
1975	Lucky Strike Racing	McLaren M23	Ford Cosworth DFV	0
