Buechel & Manhart spelling (pronunciation)	Ullrich	Brandon University	Deloria & Boas	Dakota Mission	Rood & Taylor	Riggs	Williamson	University of Minnesota	White Hat
´	´	ʾ	´	none	ʼ	´	´	´	none
a	a	a	a	a	a	a	a	a	a
a (á)	á	a	a	a	a	a	a	a	a
an, an' (aη)	aŋ	an̄	ą	an	ą	aŋ	aŋ	aŋ	aη
b	b	b	b	b	b	b	b	b	b
c	č	c	c	c	č	ć	c	c	c̄
c (c, c̔)	čh	ć	cʽ	c	čh	ć̣	c̣	c	ċ ¹
c’	č’	c̦	c’	c	čʼ	ć	c	c’	ċ’ ¹
none	none	d	d	d	d	d	d	d	d
e	e	e	e	e	e	e	e	e	e
e (é)	é	e	e	e	e	e	e	e	e
g	g	g	g	g	g	g	g	g	g
g (ġ)	ǧ	ǥ	ġ	g	ǧ	ġ	ġ	g	ġ
h	h	h	h	h	h	h	h	h	h
h̔	ȟ	ħ	ḣ	r	ȟ	ḣ	ḣ	ḣ	ḣ
h’ (h̔’)	ȟ’	ħ̦	ḣ’	r	ȟʼ	ḣ	ḣ	ḣ’	ḣ’
i	i	i	i	i	i	i	i	i	i
i (í)	í	i	i	i	i	i	i	i	i
in, in' (iη)	iŋ	in̄	į	in	į	iŋ	iŋ	iŋ	iη
k (k, k̇)	k	k	k	k	k	k	k	k	k
k	kh	k̔	k‘	k	kh	k	k	ḳ	k
k (k̔)	kȟ	k̔	k‘	k	kh	k	k	ḳ	k̇
k’	k’	ķ	k’	q	kʼ	ḳ	ḳ	k’	k’
l	l	none	l	none	l	l	l	none	l
l´	none	none	none	none	none	none	none	none	none
m	m	m	m	m	m	m	m	m	m
n	n	n	n	n	n	n	n	n	n
n	n	n	n	n	ň	n	n	n	n
o	o	o	o	o	o	o	o	o	o
o (ó)	ó	o	o	o	o	o	o	o	o
on, on' (oη)	uŋ	un̄	ų	on	ų	oŋ	oŋ	uŋ	uη
ṗ (p, ṗ)	p	p	p	p	p	p	p	p	p̄
p	ph	p̔	p‘	p	ph	p	p	p̣	p
p (p̔)	pȟ	p̔	p‘	p	ph	p	p	p̣	ṗ
p’	p’	p̦	p’	p	pʼ	p̣	p̣	p’	p’
s	s	s	s	s	s	s	s	s	s
s’	s’	ș	s’	s	sʼ	s’	s’	s’	s’
š	š	š	ṡ	x, ś	š	ś	ṡ	ṡ	ṡ ²
š’	š’	ș̌	ṡ’	x, ś	š	ś’	ṡ’	ṡ’	ṡ’ ²
t (t, ṫ)	t	t	t	t	t	t	t	t	t
t	th	tʿ	tʽ	t	th	t	t	ṭ	t
t (t̔)	tȟ	tʿ	tʽ	t	th	t	t	ṭ	ṫ
t’	t’	ţ	t’	t	tʼ	ṭ	ṭ	t’	t’
u	u	u	u	u	u	u	u	u	u
u (ú)	ú	u	u	u	u	u	u	u	u
un, un' (uη)	uŋ	un̄	ų	un	ų	uŋ	uŋ	uŋ	uη
w	w	w	w	w	w	w	w	w	w
y	y	y	y	y	y	y	y	y	y
z	z	z	z	z	z	z	z	z	z
j	ž	ž	z	j	ž	ź	ż	ż	j
