Tournament	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000
Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams
Australian Open	A	1R	A	A	QF	A	2R	1R	4R	2R	1R	A	1R	1R	A	A	A
French Open	A	3R	QF	3R	QF	SF	4R	3R	1R	2R	1R	4R	1R	A	1R	A	A
Wimbledon	A	A	1R	A	1R	1R	A	A	1R	1R	A	1R	1R	A	A	A	A
US Open	A	A	4R	4R	A	4R	3R	2R	2R	1R	2R	2R	1R	A	A	A	A
Win–Loss	0–0	2–2	7–3	5–2	8–3	8–3	6–3	3–3	4–4	2–4	1–3	4–3	0–4	0–1	0–1	0–0	0–0
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells	A	A	A	1R	A	3R	1R	A	F	1R	2R	1R	A	A	A	A	A
Miami	A	A	A	2R	QF	2R	2R	A	2R	3R	3R	A	A	A	A	A	A
Monte Carlo	A	A	A	QF	3R	2R	W	QF	QF	2R	2R	1R	A	A	A	A	A
Rome	A	A	3R	1R	A	A	F	A	A	QF	3R	2R	A	A	A	A	A
Hamburg	A	A	A	2R	A	1R	A	1R	A	F	3R	1R	A	A	A	A	A
Canada	A	A	A	A	A	A	A	W	A	A	A	A	A	A	A	A	A
Cincinnati	A	A	A	A	2R	2R	2R	1R	A	A	A	1R	1R	A	A	A	A
Stockholm/Essen/Stuttgart	A	A	A	A	A	A	3R	A	2R	1R	3R	A	A	A	A	A	A
Paris	A	A	A	1R	QF	1R	2R	1R	2R	2R	1R	A	A	A	A	A	A
Win–Loss	0–0	0–0	2–1	5–6	8–4	4–6	13–6	8–4	10–5	12–7	8–7	1–5	0–1	0–0	0–0	0–0	0–0
Year End Ranking	289	137	36	52	14	22	12	31	30	27	32	89	85	209	494	871	715
