Episode	Garfield Episode 1	U.S. Acres Episode	Garfield Episode 2	Original Airdate
"Show 74"	Home Away from Home	Rainy Day Robot	Odie the Amazing	September 19, 1992
"Show 75"	Taste Makes Waist	The Wolf Who Cried Boy	Day of Doom	September 19, 1992
"Show 76"	Home Sweet Swindler	Forget-Me-Not Newton	The Great Inventor	September 26, 1992
"Show 77"	Country Cousin	The Name Game	The Carnival Curse	September 26, 1992
"Show 78"	The First Annual Garfield Watchers Test	Stark Raven Mad	The Record Breaker	October 3, 1992
"Show 79"	Renewed Terror	Badtime Story	Tooth or Dare	October 3, 1992
"Show 80"	The Kitty Council	The Bo Show	Bad Neighbor Policy	October 10, 1992
"Show 82"	Dummy of Danger	Sooner or Later	Jumping Jon	October 17, 1992
"Show 83"	Cute for Loot	The Caverns of Cocoa	Dream Date	October 17, 1992
"Show 84"	The Worst Pizza in the History of Mankind	Jack II: The Rest of the Story	The Garfield Opera	October 24, 1992
"Show 85"	Airborne Odie	Once Upon a Time Warp	Bride and Broom	October 24, 1992
"Show 86"	The Cartoon Cat Conspiracy	Who Done It?	The Picnic Panic	October 31, 1992
"Show 87"	Sound Judgment	Gross Encounters	The Perils of Penelope	October 31, 1992
"Show 88"	Ghost of a Chance	Roy Gets Sacked	Revenge of the Living Lunch	November 7, 1992
