District	Incumbent	Cook	Rothenberg	CQ Politics	Crystal Ball
AL-2	(Everett) (R)	Tossup	Pure Tossup	No Clear Favorite	Republican Hold
AL-3	Rogers (R)	Likely R	Limited Risk	R Favored	Safe R
AL-5	(Cramer) (D)	Tossup	Pure Tossup	No Clear Favorite	Democratic Hold
AK-AL	Young (R)	Tossup	D Favored	Leans D	Democratic Pick-up
AZ-1	(Renzi) (R)	Likely D	D Favored	Leans D	Democratic Pick-up
AZ-3	Shadegg (R)	Leans R	R Favored	Leans R	Republican Hold
AZ-5	Mitchell (D)	Likely D	Limited Risk	Leans D	Democratic Hold
AZ-8	Giffords (D)	Likely D	Limited Risk	Leans D	Democratic Hold
CA-3	Lungren (R)	Likely R	R Favored	R Favored	Safe R
CA-4	(Doolittle) (R)	Tossup	Pure Tossup	No Clear Favorite	Democratic Pick-up
CA-11	McNerney (D)	Leans D	Leans D	D Favored	Democratic Hold
CA-26	Dreier (R)	Likely R	Limited Risk	R Favored	Safe R
CA-45	Bono (R)	Likely R	Limited Risk	Safe R	Safe R
CA-46	Rohrabacher (R)	Likely R	R Favored	R Favored	Safe R
CA-50	Bilbray (R)	Leans R	Limited Risk	R Favored	Republican Hold
CO-4	Musgrave (R)	Tossup	Leans D	Leans D	Democratic Pick-up
CT-2	Courtney (D)	Solid D	Limited Risk	D Favored	Safe D
CT-4	Shays (R)	Tossup	Tossup/Tilts D	No Clear Favorite	Democratic Pick-up
CT-5	Murphy (D)	Solid D	Limited Risk	Leans D	Democratic Hold
FL-8	Keller (R)	Tossup	Leans D	Leans D	Democratic Pick-up
FL-13	Buchanan (R)	Likely R	R Favored	Leans R	Republican Hold
FL-15	(Weldon) (R)	Solid R	Limited Risk	R Favored	Safe R
FL-16	Mahoney (D)	Likely R	R Favored	Leans R	Republican Pick-up
FL-18	Ros-Lehtinen (R)	Likely R	Limited Risk	R Favored	Safe R
FL-21	L. Diaz-Balart (R)	Tossup	Pure Tossup	Leans R	Republican Hold
FL-22	Klein (D)	Solid D	Limited Risk	D Favored	Safe D
FL-24	Feeney (R)	Leans D	D Favored	Leans D	Democratic Pick-up
FL-25	M. Diaz-Balart (R)	Tossup	Tossup/Tilts R	Leans R	Democratic Pick-up
GA-8	Marshall (D)	Leans D	Tossup/Tilts D	Leans D	Democratic Hold
GA-12	Barrow (D)	Solid D	Limited Risk	D Favored	Democratic Hold
GA-13	Scott (D)	Solid D	Limited Risk	D Favored	Safe D
ID-1	Sali (R)	Tossup	Tossup/Tilts D	No Clear Favorite	Democratic Pick-up
IL-6	Roskam (R)	Likely R	Limited Risk	R Favored	Safe R
IL-8	Bean (D)	Solid D	Limited Risk	D Favored	Democratic Hold
IL-10	Kirk (R)	Tossup	Tossup/Tilts R	No Clear Favorite	Democratic Pick-up
IL-11	(Weller) (R)	Leans D	Leans D	Leans D	Democratic Pick-up
IL-13	Biggert (R)	Likely R	Limited Risk	R Favored	Safe R
IL-14	Foster (D)	Likely D	Limited Risk	D Favored	Democratic Hold
IL-18	(LaHood) (R)	Solid R	Limited Risk	R Favored	Republican Hold
IN-3	Souder (R)	Leans R	R Favored	Leans R	Republican Hold
IN-8	Ellsworth (D)	Solid D	Limited Risk	Safe D	Democratic Hold
IN-9	Hill (D)	Likely D	Limited Risk	D Favored	Democratic Hold
IA-4	Latham (R)	Likely R	Limited Risk	R Favored	Republican Hold
KS-2	Boyda (D)	Leans D	Tossup/Tilts D	No Clear Favorite	Democratic Hold
KS-3	Moore (D)	Likely D	Limited Risk	D Favored	Democratic Hold
KY-2	(Lewis) (R)	Tossup	Pure Tossup	Leans R	Republican Hold
KY-3	Yarmuth (D)	Likely D	Limited Risk	D Favored	Democratic Hold
LA-1	Scalise (R)	Solid R	Limited Risk	R Favored	Safe R
LA-4	(McCrery) (R)	Tossup	Pure Tossup	No Clear Favorite	Republican Hold
LA-6	Cazayoux (D)	Tossup	Pure Tossup	No Clear Favorite	Democratic Hold
LA-7	Boustany (R)	Likely R	Limited Risk	R Favored	Republican Hold
ME-1	(Allen) (D)	Solid D	Limited Risk	D Favored	Safe D
MD-1	(Gilchrest) (R)	Tossup	Pure Tossup	No Clear Favorite	Republican Hold
MI-7	Walberg (R)	Tossup	Pure Tossup	No Clear Favorite	Democratic Pick-up
MI-8	Rogers (R)	Likely R	Limited Risk	Safe R	Safe R
MI-9	Knollenberg (R)	Tossup	Leans D	Leans D	Democratic Pick-up
MI-11	McCotter (R)	Likely R	Limited Risk	Safe R	Safe R
MN-1	Walz (D)	Likely D	Limited Risk	D Favored	Democratic Hold
MN-2	Kline (R)	Likely R	Limited Risk	R Favored	Safe R
MN-3	(Ramstad) (R)	Tossup	Tossup/Tilts D	No Clear Favorite	Republican Hold
MN-6	Bachmann (R)	Tossup	Tossup/Tilts D	No Clear Favorite	Democratic Pick-up
MS-1	Childers (D)	Likely D	Limited Risk	Leans D	Democratic Hold
MO-6	Graves (R)	Leans R	Limited Risk	Leans R	Republican Hold
MO-9	(Hulshof) (R)	Tossup	Tossup/Tilts R	Leans R	Republican Hold
NE-2	Terry (R)	Tossup	Tossup/Tilts D	Leans R	Republican Hold
NV-2	Heller (R)	Leans R	R Favored	Leans R	Republican Hold
NV-3	Porter (R)	Tossup	Tossup/Tilts D	No Clear Favorite	Democratic Pick-up
NH-1	Shea-Porter (D)	Tossup	Tossup/Tilts D	No Clear Favorite	Democratic Hold
NH-2	Hodes (D)	Solid D	Limited Risk	D Favored	Democratic Hold
NJ-3	(Saxton) (R)	Tossup	Tossup/Tilts D	No Clear Favorite	Democratic Pick-up
NJ-5	Garrett (R)	Likely R	Limited Risk	R Favored	Republican Hold
NJ-7	(Ferguson) (R)	Tossup	Pure Tossup	No Clear Favorite	Democratic Pick-up
NM-1	(Wilson) (R)	Leans D	Leans D	No Clear Favorite	Democratic Pick-up
NM-2	(Pearce) (R)	Tossup	Leans D	No Clear Favorite	Democratic Pick-up
NY-13	(Fossella) (R)	Likely D	D Favored	D Favored	Democratic Pick-up
NY-19	Hall (D)	Solid D	Limited Risk	D Favored	Democratic Hold
NY-20	Gillibrand (D)	Likely D	Limited Risk	Leans D	Democratic Hold
