District	Municipalities	Parishes	Province of 1936	Region
Aveiro	19	208	Beira Litoral Province + Douro Litoral Province	Norte , Centro
Beja	14	100	Baixo Alentejo	Alentejo
Braga	14	515	Minho	Norte
Bragança	12	299	Trás-os-Montes e Alto Douro Province	Norte
Castelo Branco	11	160	Beira Baixa Province	Centro
Coimbra	17	209	Beira Baixa Province , Beira Litoral	Centro
Évora	14	91	Alto Alentejo	Alentejo
Faro	16	84	Algarve Province	Algarve
Leiria	16	148	Beira Litoral Province , Estremadura	Centro
Lisbon	16	226	Estremadura (partly Ribatejo)	Lisbon (partly Alentejo)
Portalegre	15	86	Alto Alentejo Province (partly Ribatejo)	Alentejo
Porto	18	383	Douro Litoral Province	Norte
Setúbal	13	82	Estremadura Province , Baixo Alentejo Province	Lisbon, Alentejo
Viana do Castelo	10	290	Minho	Norte
Vila Real	14	268	Trás-os-Montes e Alto Douro	Norte
