First air date	Reward	Immunity	Eliminated	Vote	Finish
September 12, 2010	North Team	North Team	Kimhye	5-1	1st Voted Out Day 3
September 12, 2010	North Team	David	Kimhye	5-1	1st Voted Out Day 3
September 19, 2010	South Team	South Team	Maria	0-1-1-1-1	2nd Voted Out Day 6
September 19, 2010	South Team	Arvid	Maria	0-1-1-1-1	2nd Voted Out Day 6
September 26, 2010	South Team	South Team	Werner	7-1-1	3rd Voted Out Day 9
October 3, 2010	South Team	South Team	Arvid	5-1	4th Voted Out Day 12
October 3, 2010	South Team	Ken Rune	Arvid	5-1	4th Voted Out Day 12
October 10, 2010	Men	Women	Ken Rune	2-0	5th Voted Out Day 15
October 10, 2010	Men	David, Stian	Ken Rune	2-0	5th Voted Out Day 15
October 17, 2010	None	None	Jeanette	No Vote	Lost Duel Day 18
October 17, 2010	None	Alita	Randi-Anette	5-4-1	6th Voted Out Day 31
October 24, 2010	None	Bjørnar	Kim	1-0	7th Voted Out Day 32
October 24, 2010	None	David	Daniel	6-4	8th Voted Out 1st Jury Member Day 34
October 31, 2010	Stian, [David, Tone]	Stian	Cecilie	7-2-1-1	9th Voted Out 2nd Jury Member Day 37
November 14, 2010	Alita, Atle, Dan, Kristine, Tone, Stian, Synnøve	Dan	Lisbeth	5-3-1	11th Voted Out 4th Jury Member Day 41
November 14, 2010	Alita, Atle, Dan, Kristine, Tone, Stian, Synnøve	Synnøve	Lisbeth	5-3-1	11th Voted Out 4th Jury Member Day 41
November 21, 2010	Alita, David Kristine, Tone	Synnøve	Dan	4-2-1-1	12th Voted Out 5th Jury Member Day 43
November 21, 2010	Alita, David Kristine, Tone	Alita	David	4-1	13th Voted Out 6th Jury Member Day 43
November 28, 2010	Atle, [Kristine]	None	Synnøve	No Vote	Lost Duel 7th Jury Member Day 44
November 28, 2010	Atle, [Kristine]	Tone	Kristine	2-1	14th Voted Out 8th Jury Member Day 45
December 5, 2010	None	Alita	Tone	1-0	15th Voted Out 9th Jury Member Day 46
December 5, 2010	None	Stian	Atle	No Vote	Lost Duel 10th Jury Member Day 46
December 5, 2010	Jury Vote	Jury Vote	Stian	8-3	Runner-Up
