Original NFL team	Player	Pos.	College	Conf.
Denver Broncos	Jerry Inman Category:Articles with hCards	DT	Oregon	AAWU
Denver Broncos	Larry Kaminski Category:Articles with hCards †	C	Purdue	Big Ten
Denver Broncos	Pat Matson Category:Articles with hCards	G	Oregon	AAWU
Kansas City Chiefs	Andy Rice Category:Articles with hCards	DT	Texas Southern	SWAC
Kansas City Chiefs	Emmitt Thomas Category:Articles with hCards †	CB	Bishop	N/A
Miami Dolphins	Bob Bruggers Category:Articles with hCards	LB	Minnesota	Big Ten
Miami Dolphins	Karl Noonan Category:Articles with hCards †	WR	Iowa	Big Ten
New York Jets	Paul Crane Category:Articles with hCards	C	Alabama	SEC
Oakland Raiders	Mike Eischeid Category:Articles with hCards	P	Upper Iowa	N/A
Oakland Raiders	Rich Jackson Category:Articles with hCards †	DE	Southern	SWAC
San Diego Chargers	Joe Beauchamp Category:Articles with hCards †	S	Iowa State	Big 8
Denver Broncos	Lonnie Wright Category:Articles with hCards	S	Colorado State	Ind.
