Date	City	Result	Score	Competition
February 21, 1976	Brasília	W	1-0	International Friendly (unofficial match)
February 25, 1976	Montevideo	W	2-1	Taça do Atlântico / Taça Rio Branco
February 27, 1976	Buenos Aires	W	2-1	Taça do Atlântico / Roca Cup
April 7, 1976	Asunción	D	1-1	Taça do Atlântico / Taça Oswaldo Cruz
April 28, 1976	Rio de Janeiro	W	2-1	Taça do Atlântico / Taça Rio Branco
May 19, 1976	Rio de Janeiro	W	2-0	Taça do Atlântico / Roca Cup
May 23, 1976	Los Angeles	W	1-0	USA Bicentenary Cup
May 28, 1976	Seattle	W	2-0	USA Bicentenary Cup
May 31, 1976	New Haven	W	4-1	USA Bicentenary Cup
June 2, 1976	San Francisco	W	4-3	International Friendly (unofficial match)
June 4, 1976	Guadalajara	W	3-0	International Friendly
June 9, 1976	Rio de Janeiro	W	3-1	Taça do Atlântico / Taça Oswaldo Cruz
October 6, 1976	Rio de Janeiro	L	0-2	International Friendly (unofficial match)
December 1, 1976	Rio de Janeiro	W	2-0	International Friendly
