Date	Cover model	Centerfold model	Interview subject	20 Questions
1-03	Tia Carrere	Rebecca Anne Ramos	Halle Berry	Ron Insana
2-03	Alison Eastwood	Charis Boyle	Jimmy Kimmel	Bernie Mac
3-03	Dorismar	Pennelope Jimenez	Colin Farrell	Juliette Lewis
4-03	Carmen Electra	Carmella DeCesare	Jay-Z	Andy Richter
5-03	Torrie Wilson	Laurie Fetter	Billy Bob Thornton	Jorja Fox
6-03	Sarah Kozer	Tailor James	Mike Piazza	Nelly
7-03	Nikki Ziering	Marketa Janska	Lisa Marie Presley	Rachel Weisz
8-03	Jenna Morasca , Heidi Strobel	Colleen Marie	Tobey Maguire	Charles Rangel
9-03	Signe Nordli	Luci Victoria	Jon Gruden	Nicolas Cage
10-03	Lauren Hill	Audra Lynn	O.J. Simpson	Joe Rogan
11-03	Daryl Hannah	Divini Rae	Quentin Tarantino	Bill Murray
12-03	Shannen Doherty	Deisy Teles and Sarah Teles	John Cusack	William H. Macy
