Week	Date	Opponent	Result	Attendance
1	September 2, 1979	Houston Oilers	L 29-27	54,582
2	September 9, 1979	at Detroit Lions	W 27-24	54,991
3	September 17, 1979	New York Giants	W 27-0	54,672
4	September 23, 1979	at St. Louis Cardinals	W 17-7	50,680
5	September 30, 1979	at Atlanta Falcons	W 16-7	56,819
6	October 7, 1979	at Philadelphia Eagles	L 28-17	69,142
7	October 14, 1979	at Cleveland Browns	W 13-9	63,323
8	October 21, 1979	Philadelphia Eagles	W 17-7	54,442
9	October 28, 1979	New Orleans Saints	L 14-10	52,133
10	November 4, 1979	at Pittsburgh Steelers	L 38-7	49,462
11	November 11, 1979	St. Louis Cardinals	W 30-28	50,868
12	November 18, 1979	Dallas Cowboys	W 34-20	55,031
13	November 25, 1979	at New York Giants	L 14-6	72,641
14	December 2, 1979	Green Bay Packers	W 38-21	51,682
15	December 9, 1979	Cincinnati Bengals	W 28-14	52,882
16	December 16, 1979	at Dallas Cowboys	L 35-34	62,867
