Couple	Style	Music	Choreographer(s)	Results
Courtney Galiano Joshua Allen	Hip-Hop	"Skippin'"— Mario	Dave Scott	Safe
Courtney Galiano Joshua Allen	Rumba	" Hero "— Enrique Iglesias	Jean-Marc Généreux France Mousseau	Safe
Kherington Payne Mark Kanemura	Country-western two-step	"Kick Back"— Ty England	Ronnie DeBenedetta Brandi Tobais	Payne eliminated Kanemura in bottom 4
Kherington Payne Mark Kanemura	Jazz	" Canned Heat "— Jamiroquai	Tyce Diorio	Payne eliminated Kanemura in bottom 4
Comfort Fedoke Stephen "Twitch" Boss	Smooth Waltz	" Open Arms "— Journey	Hunter Johnson	Fedoke in bottom 4
Comfort Fedoke Stephen "Twitch" Boss	Hip-Hop	" Forever "— Chris Brown	Dave Scott	Fedoke in bottom 4
Katee Shean William Wingfield	Broadway	"Sit Down You're Rocking the Boat"— Sam Harris	Tyce Diorio	Safe
Katee Shean William Wingfield	Pas de deux	" Imagine "— David Archuleta	Dwight Rhoden Desmond Richardson	Safe
Chelsie Hightower Gev Manoukian	Contemporary	"These Arms of Mine"— Otis Redding	Sonya Tayeh	Manoukian eliminated
Chelsie Hightower Gev Manoukian	Jive	"The House is Rockin'"— Brian Setzer	Jean-Marc Généreux France Mousseau assisting	Manoukian eliminated
