Date	Event	Alternate Name/s	Location	Attendance	PPV Buyrate
January 16	UFC Ultimate Fight Night 3	Ultimate Fight Night 3	Las Vegas , Nevada, USA	1,008	N/A
February 4	UFC 57: Liddell vs. Couture 3	N/A	Las Vegas , Nevada, USA	11,000	400,000
February 4	Cage Rage 15: Adrenalin Rush	N/A	London, England	N/A	N/A
February 26	Pride 31: Unbreakable	Pride 31: Dreamers	Saitama , Japan	N/A	N/A
March 4	UFC 58: USA vs Canada	N/A	Las Vegas , Nevada, USA	9,569	300,000
March 10	Strikeforce: Shamrock vs. Gracie	N/A	San Jose , California, USA	18,265	N/A
March 15	K-1 Hero's 4	N/A	Tokyo, Japan	N/A	N/A
April 2	Pride Bushido 10	N/A	Tokyo, Japan	N/A	N/A
April 6	UFC Ultimate Fight Night 4	Ultimate Fight Night 4	Las Vegas , Nevada, USA	843	N/A
April 15	UFC 59: Reality Check	N/A	Anaheim , California, USA	13,814	425,000
April 22	Cage Rage 16: Critical Condition	N/A	London, England	N/A	N/A
April 29	IFL: Legends Championship 2006	N/A	Atlantic City , New Jersey, USA	N/A	N/A
May 3	K-1 Hero's 5	N/A	Tokyo, Japan	N/A	N/A
May 5	Pride Total Elimination Absolute	N/A	Osaka , Japan	N/A	N/A
May 27	UFC 60: Hughes vs. Gracie	N/A	Los Angeles, California, USA	14,765	620,000
June 3	IFL: Championship 2006	N/A	Atlantic City , New Jersey, USA	N/A	N/A
June 4	Pride Bushido Survival 2006	Pride Bushido 11 Pride Bushido Survival	Saitama , Japan	N/A	N/A
June 9	Strikeforce: Revenge	N/A	San Jose , California, USA	10,374	N/A
June 24	The Ultimate Fighter 3 Finale	N/A	Las Vegas , Nevada, USA	N/A	N/A
June 28	UFC Ultimate Fight Night 5	Ultimate Fight Night 5	Las Vegas , Nevada, USA	606	N/A
July 1	Pride Critical Countdown Absolute	N/A	Saitama , Japan	N/A	N/A
July 1	Cage Rage 17: Ultimate Challenge	N/A	London, England	N/A	N/A
July 8	UFC 61: Bitter Rivals	N/A	Las Vegas , Nevada, USA	11,167	775,000
July 22	WFA: King of the Streets	N/A	Los Angeles, California, USA	N/A	N/A
August 5	K-1 Hero's 6	N/A	Tokyo, Japan	N/A	N/A
August 17	UFC Fight Night 6	N/A	Las Vegas , Nevada, USA	N/A	N/A
August 26	UFC 62: Liddell vs. Sobral	N/A	Las Vegas , Nevada, USA	9,859	500,000
August 26	Pride Bushido 12	Pride Bushido Survival 2nd Round	Nagoya , Japan	N/A	N/A
September 9	IFL: Portland	N/A	Portland , Oregon, USA	N/A	N/A
September 10	Pride Final Conflict Absolute	N/A	Saitama , Japan	N/A	N/A
September 23	IFL: Gracie vs. Miletich	N/A	Moline , Illinois, USA	N/A	N/A
September 23	UFC 63: Hughes vs. Penn	N/A	Anaheim , California, USA	12,604	400,000
September 30	Cage Rage 18: Battleground	N/A	London, England	N/A	N/A
October 7	Strikeforce: Tank vs. Buentello	N/A	Fresno , California, USA	4,437	N/A
October 9	K-1 Hero's 7	N/A	Yokohama , Japan	N/A	N/A
October 10	Ortiz vs. Shamrock 3: The Final Chapter	UFC Fight Night 6.5	Hollywood , Florida, USA	3,510	N/A
October 14	UFC 64: Unstoppable	N/A	Las Vegas , Nevada, USA	10,173	300,000
October 21	Pride 32: The Real Deal	N/A	Las Vegas , Nevada, USA	11,727	40,000
November 2	IFL: World Championship Semifinals	N/A	Portland , Oregon, USA	N/A	N/A
November 5	Pride Bushido 13	Pride Bushido Survival Finals	Yokohama , Japan	N/A	N/A
November 11	The Ultimate Fighter 4 Finale	N/A	Las Vegas , Nevada, USA	N/A	N/A
November 11	K-1 Hero's Lithuania 2006	N/A	Lithuania	N/A	N/A
November 18	UFC 65: Bad Intentions	N/A	Sacramento , California, USA	14,666	500,000
December 8	Strikeforce: Triple Threat	N/A	San Jose , California, USA	8,701	N/A
December 13	UFC Fight Night: Sanchez vs Riggs	UFC Fight Night 7	San Diego, California, USA	N/A	N/A
December 29	IFL: Championship Final	N/A	Uncasville , Connecticut, USA	N/A	N/A
December 30	UFC 66: Liddell vs. Ortiz 2	N/A	Paradise , Nevada, USA	13,761	1,050,000
December 31	Pride Shockwave 2006	N/A	Saitama , Japan	48,709	N/A
December 31	K-1 PREMIUM 2006 Dynamite!!	N/A	Osaka , Japan	51,930	N/A
