Date	Score	Set 1	Set 2	Set 3	Set 4	Set 5	Total
May 11	3-0	25-18	25-19	25-18	NA	NA	75 - 55
May 11	0-3	16-25	20-25	20-25	NA	NA	56 - 75
May 13	2-3	22-25	25-20	19-25	25-23	11-15	102 - 108
May 13	3-0	25-14	25-22	25-21	NA	NA	75 - 57
May 18	3-0	25-23	25-17	26-24	NA	NA	76 - 64
May 18	3-1	21-25	27-25	25-19	25-20	NA	98 - 89
May 19	1-3	25-27	25-23	22-25	22-25	NA	94 - 100
May 20	2-3	29-27	24-26	17-25	25-23	10-15	105 - 116
May 25	1-3	22-25	26-24	28-30	22-25	NA	98 - 104
May 25	3-2	25-22	27-25	17-25	23-25	15-11	107 - 108
May 26	3-1	25-20	20-25	25-22	26-24	NA	96 - 91
May 27	3-0	25-15	25-20	25-20	NA	NA	75 - 55
May 1	1-3	30-28	20-25	20-25	19-25	NA	89 - 103
May 2	1-3	19-25	23-25	25-21	22-25	NA	89 - 96
May 3	2-3	23-25	21-25	25-22	28-26	12-15	109 - 113
May 3	3-0	25-20	25-22	25-18	NA	NA	75 - 60
May 8	3-1	29-27	25-22	19-25	25-22	NA	98 - 96
May 9	0-3	25-27	29-31	14-25	NA	NA	68 - 83
May 9	3-1	25-20	23-25	25-17	25-17	NA	98 - 79
May 10	1-3	24-26	32-30	21-25	20-25	NA	97 - 106
May 15	3-2	25-18	22-25	25-21	28-30	15-12	115 - 106
May 15	1-3	21-25	25-19	20-25	19-25	NA	85 - 94
May 16	3-2	25-20	19-25	19-25	25-21	15-09	103 - 100
May 17	3-2	25-21	25-20	22-25	21-25	15-12	108 - 103
