Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Winner	26 July 1987	Schenectady, USA	Outdoor/Hard	Gary Donnelly	Brad Pearce Jim Pugh	7–6, 6–2
Runner-up	20 November 1988	Johannesburg, South Africa	Indoor/Hard	Tim Wilkison	Kevin Curren David Pate	6–7, 4–6
Winner	30 July 1989	Washington, USA	Outdoor/Hard	Neil Broad	Jim Grabb Patrick McEnroe	6–7, 7–6, 6–4
Runner-up	12 August 1990	Cincinnati, USA	Outdoor/Hard	Neil Broad	Darren Cahill Mark Kratzmann	6–7, 2–6
Runner-up	30 September 1990	Basel, Switzerland	Indoor/Hard	Neil Broad	Christo van Rensburg Stefan Kruger	6–4, 6–7, 3–6
Winner	7 October 1990	Toulouse, France	Indoor/Hard	Neil Broad	Michael Mortensen Michiel Schapers	7–6, 6–4
Winner	16 July 1991	Gstaad, Switzerland	Outdoor/Clay	Danie Visser	Guy Forget Jakob Hlasek	7–6, 6–4
Winner	20 October 1991	Vienna, Austria	Indoor/Carpet	Anders Järryd	Jakob Hlasek Patrick McEnroe	6–4, 7–5
Runner-up	16 February 1992	Memphis, USA	Indoor/Hard	Kevin Curren	Todd Woodbridge Mark Woodforde	5–7, 6–4, 6–7
Winner	26 April 1992	Seoul, South Korea	Outdoor/Hard	Kevin Curren	Kelly Evernden Brad Pearce	7–6, 6–4
Runner-up	25 April 1993	Seoul, South Korea	Outdoor/Hard	Neil Broad	Jan Apell Peter Nyborg	7–5, 6–7, 2–6
Runner-up	13 June 1993	London, England	Outdoor/Grass	Neil Broad	Todd Woodbridge Mark Woodforde	7–6, 3–6, 4–6
Runner-up	25 July 1993	Stuttgart, Germany	Outdoor/Clay	Piet Norval	Tom Nijssen Cyril Suk	6–7, 3–6
Winner	24 October 1993	Lyon, France	Indoor/Carpet	Danie Visser	John-Laffnie de Jager Stefan Kruger	6–3, 7–6
Runner-up	31 October 1993	Stockholm, Sweden	Indoor/Carpet	Danie Visser	Todd Woodbridge Mark Woodforde	1–6, 6–3, 2–6
Runner-up	19 June 1994	Halle, Germany	Outdoor/Grass	Henri Leconte	Guy Forget Olivier Delaître	4–6, 7–6, 4–6
Runner-up	16 October 1994	Ostrava, Czech Republic	Indoor/Carpet	Piet Norval	Martin Damm Karel Nováček	4–6, 6–1, 3–6
Runner-up	12 March 1995	Indian Wells, USA	Outdoor/Hard	Piet Norval	Tommy Ho Brett Steven	4–6, 6–7
Runner-up	13 October 1996	Beijing, China	Indoor/Carpet	Patrik Kühnen	Martin Damm Andrei Olhovskiy	4–6, 5–7
Winner	16 February 1997	San Jose, USA	Indoor/Hard	Brian MacPhie	Mark Knowles Daniel Nestor	4–6, 7–6, 7–5
