Day	Stage	Time (CET)	Name	Length	Winner	Time	Avg. spd.	Rally leader
1 (12 FEB)	SS1	20:04	Oslo	1.92km	Petter Solberg	1:32.8	74.5km/h	Petter Solberg
2 (13 FEB)	SS2	09:03	Opaker 1	14.62km	Mikko Hirvonen	8:06.0	108.3km/h	Mikko Hirvonen
2 (13 FEB)	SS3	09:39	Kirkenær 1	8.0km	Sébastien Loeb	6:36.8	72.6km/h	Sébastien Loeb
2 (13 FEB)	SS4	10:19	Finnskogen 1	20.87km	Mikko Hirvonen	11:55.4	105.0km/h	Mikko Hirvonen
2 (13 FEB)	SS5	11:13	Kongsvinger 1	13.45km	Mikko Hirvonen	8:56.9	90.2km/h	Mikko Hirvonen
2 (13 FEB)	SS6	12:45	Opaker 2	14.62km	Per-Gunnar Andersson	8:11.2	107.1km/h	Mikko Hirvonen
2 (13 FEB)	SS7	13:51	Finnskogen 2	20.87km	Per-Gunnar Andersson	11:58.9	104.5km/h	Mikko Hirvonen
2 (13 FEB)	SS8	14:45	Kongsvinger 2	13.45km	Mikko Hirvonen	9:10.3	88.0km/h	Mikko Hirvonen
2 (13 FEB)	SS9	15:46	Kirkenær 2	8.0km	Sébastien Loeb	6:55.0	69.46km/h	Sébastien Loeb
3 (14 FEB)	SS10	07:53	Mountain 1	24.36km	Sébastien Loeb	12:43.3	114.9km/h	Sébastien Loeb
3 (14 FEB)	SS11	08:58	Lillehammer 1	6.78km	Sébastien Loeb	5:04.8	80.1km/h	Sébastien Loeb
3 (14 FEB)	SS12	09:58	Ringsaker 1	27.29km	Sébastien Loeb	14:30.8	112.8km/h	Sébastien Loeb
3 (14 FEB)	SS13	11:04	Hamar 1	1.15km	Sébastien Loeb	1:11.8	57.7km/h	Sébastien Loeb
3 (14 FEB)	SS14	13:15	Mountain 2	24.36km	Henning Solberg	13:13.4	110.5km/h	Sébastien Loeb
3 (14 FEB)	SS15	14:20	Lillehammer 2	6.78km	Jari-Matti Latvala	5:15.3	77.4km/h	Sébastien Loeb
3 (14 FEB)	SS16	15:20	Ringsaker 2	27.29km	Jari-Matti Latvala	15:06.7	108.4km/h	Sébastien Loeb
3 (14 FEB)	SS17	16:26	Hamar 2	1.15km	Sébastien Loeb	1:14.1	55.9km/h	Sébastien Loeb
4 (15 FEB)	SS18	07:34	Våler 1	30.03km	Mikko Hirvonen	16:07.5	111.7km/h	Sébastien Loeb
4 (15 FEB)	SS19	08:35	Elverum 1	13.31km	Sébastien Loeb	6:18.9	126.5km/h	Sébastien Loeb
4 (15 FEB)	SS20	09:23	Budor 1	19.74km	Mikko Hirvonen	10:12.3	116.1km/h	Sébastien Loeb
4 (15 FEB)	SS21	11:59	Våler 2	30.03km	Mikko Hirvonen	16:23.4	109.9km/h	Sébastien Loeb
4 (15 FEB)	SS22	13:00	Elverum 2	13.31km	Mikko Hirvonen	6:24.6	124.6km/h	Sébastien Loeb
