Date	Ship	Nationality	Tonnage	Fate
29 June 1941	George J. Goulandris	Greece	4,345	Sunk
29 June 1941	Kalypso Vergotti	Greece	5,686	Sunk
30 June 1941	Saint Aslem	United Kingdom	5,614	Sunk
19 July 1941	Holmside	United Kingdom	3,433	Sunk
26 July 1941	I. C. White	Panama	7,052	Sunk
18 January 1942	Allan Jackson	USA	6,635	Sunk
19 January 1942	Lady Hawkins	Canada	7,988	Sunk
22 January 1942	Olympic	Panama	5,335	Sunk
24 January 1942	Empire Gem	United Kingdom	8,139	Sunk
24 January 1942	Venore	USA	8,017	Sunk
14 April 1942	Korthion	Greece	2,116	Sunk
16 April 1942	Amsterdam	Netherlands	7,329	Sunk
17 April 1942	Heinrich von Riedemann	Panama	11,020	Sunk
26 April 1942	Alcoa Partner	USA	5,513	Sunk
29 April 1942	Harry G. Siedel	Panama	10,354	Sunk
2 May 1942	Sandar	Norway	7,624	Sunk
3 May 1942	Geo. W. McNight	United Kingdom	12,502	Damaged
