Tournament	2008	2009	2010	2011	2012	Win %
Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments
Australian Open	A	1R	A	3R	QF	69.23
French Open	Q2	A	2R	2R	A	62.50
Wimbledon	1R	A	1R	1R	3R	44.44
US Open	4R	A	3R	1R	3R	63.64
Win–Loss	3–2	0–1	3–3	3–4	8–3	60.98
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer Olympics	1R	Not Held	Not Held	Not Held	QF	60.00
ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000
Indian Wells	1R	1R	A	1R	2R	37.50
Miami	1R	A	A	2R	4R	63.63
Monte Carlo	A	A	A	A	3R	66.66
Madrid	A	A	A	1R	A	66.66
Rome	A	A	A	Q2	A	50.00
Canada	A	A	A	A	2R	60.00
Cincinnati	A	A	A	1R	3R	40.00
Shanghai	NM1	A	LQ	SF	2R	72.73
Paris	A	A	A	1R	3R	50.00
Win–Loss	0–2	0–1	0–0	5–6	8–6	52.17
Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics
Titles–Finals	1–1	0–0	0–0	0–2	1–1	60.00
Year End Ranking	63	418	98	25	19	$3,339,891
