Date	Opponent	Venue	Result	Attendance
10 August 1996	Raith Rovers	H	1–0	46,221
17 August 1996	Dunfermline Athletic	A	5–2	16,782
24 August 1996	Dundee United	H	1–0	48,285
7 September 1996	Motherwell	A	1–0	12,288
14 September 1996	Heart of Midlothian	H	3–0	47,240
21 September 1996	Kilmarnock	A	4–1	14,812
28 September 1996	Celtic	H	2–0	50,124
12 October 1996	Hibernian	A	1–2	12,436
19 October 1996	Aberdeen	H	2–2	50,076
26 October 1996	Motherwell	H	5–0	48,160
2 November 1996	Raith Rovers	A	2–2	9,722
14 November 1996	Celtic	A	1–0	50,009
1 December 1996	Aberdeen	A	3–0	19,168
7 December 1996	Hibernian	H	4–3	48,053
10 December 1996	Dundee United	A	0–1	12,417
14 December 1996	Dunfermline Athletic	H	3–1	45,878
17 December 1996	Kilmarnock	H	4–2	39,469
21 December 1996	Heart of Midlothian	A	4–1	15,139
28 December 1996	Raith Rovers	H	4–0	48,322
2 January 1997	Celtic	H	3–1	50,019
4 January 1997	Hibernian	A	2–1	12,650
12 January 1997	Aberdeen	H	4–0	47,509
15 January 1997	Kilmarnock	A	1–1	15,662
18 January 1997	Motherwell	A	3–1	13,166
1 February 1997	Heart of Midlothian	H	0–0	50,024
8 February 1997	Dunfermline Athletic	A	3–0	16,153
23 February 1997	Hibernian	H	3–1	47,618
1 March 1997	Aberdeen	A	2–2	16,331
12 March 1997	Dundee United	H	0–2	49,192
16 March 1997	Celtic	A	1–0	49,733
22 March 1997	Kilmarnock	H	1–2	50,036
5 April 1997	Dunfermline Athletic	H	4–0	49,832
15 April 1997	Raith Rovers	A	6–0	9,745
5 May 1997	Motherwell	H	0–2	50,059
7 May 1997	Dundee United	A	1–0	12,180
10 May 1997	Heart of Midlothian	A	1–3	13,097
