Rank:	Premier:	Assumed Office:	Left Office:	TOTAL Time in Office:
1.	Joh Bjelke-Petersen	8 August 1968	1 December 1987	19years, 115days
2.	Frank Nicklin	12 August 1957	17 January 1968	10years, 158days
3.	William Forgan Smith	17 June 1932	16 September 1942	10years, 91days
4.	Peter Beattie	20 June 1998	13 September 2007	9years, 85days
5.	Samuel Griffith	13 November 1883	13 June 1888	7 years, 75 days
5.	Samuel Griffith	12 August 1890	27 March 1893	7 years, 75 days
6.	Wayne Goss	7 December 1989	19 February 1996	6years, 74days
7.	Robert Herbert	10 December 1859	1 February 1866	6 years, 71 days
7.	Robert Herbert	20 July 1866	7 August 1866	6 years, 71 days
8.	Ned Hanlon	7 March 1946	17 January 1952	5years, 316days
9.	Thomas McIlwraith	22 January 1879	13 November 1883	5 years, 314 days
9.	Thomas McIlwraith	13 June 1888	30 November 1888	5 years, 314 days
9.	Thomas McIlwraith	27 March 1893	27 October 1893	5 years, 314 days
10.	Vince Gair	17 January 1952	12 August 1957	5years, 207days
11.	Ted Theodore	22 October 1919	26 February 1925	5years, 127days
12.	William Kidston	19 January 1906	19 November 1907	4 years, 262 days
12.	William Kidston	18 February 1908	7 February 1911	4 years, 262 days
13.	Anna Bligh	13 September 2007	26 March 2012	4years, 195days
14.	T. J. Ryan	1 June 1915	22 October 1919	4years, 143days
15.	Hugh Nelson	27 October 1893	13 April 1898	4years, 137days
16.	Digby Denham	7 February 1911	1 June 1915	4years, 114days
17.	Robert Philp	7 December 1899	17 September 1903	4 years, 10 days
17.	Robert Philp	19 November 1907	18 February 1908	4 years, 10 days
18.	Arthur Macalister	1 February 1866	20 July 1866	3 years, 296 days
18.	Arthur Macalister	7 August 1866	15 August 1867	3 years, 296 days
18.	Arthur Macalister	8 January 1874	5 June 1876	3 years, 296 days
19.	Arthur Hunter Palmer	3 May 1870	8 January 1874	3years, 250days
20.	William McCormack	22 October 1925	21 May 1929	3years, 211days
21.	Frank Cooper	16 September 1942	7 March 1946	3years, 172days
22.	Arthur Edward Moore	21 May 1929	17 June 1932	3years, 27days
23.	Arthur Morgan	17 September 1903	19 January 1906	2years, 124days
24.	Rob Borbidge	19 February 1996	20 June 1998	2years, 121days
25.	John Douglas	8 March 1877	22 January 1879	1year, 320days
26.	Michael Ahern	1 December 1987	25 September 1989	1year, 298days
27.	Boyd Dunlop Morehead	30 November 1888	12 August 1890	1year, 255days
28.	Campbell Newman	26 March 2012	Incumbent	1year, 312days
29.	Charles Lilley	25 November 1868	3 May 1870	1year, 159days
30.	Robert Mackenzie	15 August 1867	25 November 1868	1year, 102days
31.	James Dickson	1 October 1898	1 December 1899	1year, 61days
32.	George Thorn	5 June 1876	8 March 1877	0years, 276days
33.	William Gillies	26 February 1925	22 October 1925	0years, 238days
34.	Jack Pizzey	17 January 1968	1 August 1968	0years, 197days
35.	Thomas Joseph Byrnes	13 April 1898	1 October 1898	0years, 171days
36.	Russell Cooper	25 September 1989	7 December 1989	0years, 73days
37.	Gordon Chalk	1 August 1968	8 August 1968	0years, 7days
38.	Anderson Dawson	1 December 1899	7 December 1899	0years, 6days
