Debut year	Player	Date of birth	Games	Goals	Years at club
1940	Bill Harwood	15 September 1920	69	16	1940–1941, 1946–1948
1940	Ron Sceney	10 December 1917	2	3	1940
1940	Len Toyne	7 December 1922	35	15	1940–1941, 1945
1941	Harry Heard	12 March 1920	5	2	1941
1941	Vic Nankervis	17 November 1918	33	57	1941, 1944–1945
1941	Lindsay White	1 May 1922	117	429	1941, 1944–1950
1941	Doug Jerram	3 October 1922	24	18	1941, 1944–1947
1941	Keith A. Miller	20 June 1921	5	0	1941
1941	Keith Palmer	29 November 1919	5	0	1941
1941	Ron Grove	6 May 1919	10	3	1941
1941	Max Nicolson	10 December 1917	8	0	1941
1941	Wally Southern	26 October 1921	26	11	1941, 1944–1945
1941	Bill Bartlett	9 May 1915	4	0	1941
1941	Dan Kearney	23 May 1921	3	0	1941
1941	Joe Bailey	10 February 1921	31	2	1941, 1946–1949
1944	Lionel Barclay	23 December 1920	12	7	1944–1945
1944	Harry Beasley	26 July 1919	3	0	1944
1944	Doug Brown	30 August 1923	70	108	1944, 1946–1950
1944	Jim Fitzgerald	14 December 1924	108	14	1944–1950
1944	Jim Howie	25 September 1917	14	1	1944–1945
1944	Bob McHenry	19 October 1919	10	1	1944
1944	Jim Munday	11 January 1917	44	26	1944–1946
1944	Ralph Patman	1 October 1916	38	11	1944–1945
1944	Jack Sing	10 March 1924	33	1	1944–1946
1944	Jack Tuohill	13 March 1919	4	0	1944
1944	Frank McWilliams	25 November 1915	6	0	1944
1944	Vic Taylor	23 October 1922	2	0	1944
1944	Gerard Barrett	15 September 1925	6	1	1944
1944	Tom Burns	13 October 1916	6	5	1944
1944	Jack Morgan	12 March 1922	8	0	1944–1945
1944	Max Atkin	11 September 1924	5	0	1944–1945
1944	Alec Mathieson	5 November 1921	7	1	1944
1944	Ian Brown	7 July 1925	16	0	1944–1945
1944	Vin Lidgerwood	22 July 1916	1	0	1944
1944	Les Powell	13 April 1921	22	5	1944–1946
1944	Phonse Marshall	29 August 1917	3	1	1944
1944	Jeff Brisbane	22 October 1924	4	2	1944, 1947
1944	Ray Bamford	15 September 1915	1	0	1944
1944	John Altmann	12 August 1916	3	0	1944
1945	Joe Finn	25 February 1917	8	1	1945
1945	Percy Hunt	11 December 1922	112	35	1945–1950
1945	Max Leslie	26 June 1922	14	4	1945
1945	Frank Hose	29 October 1920	14	0	1945
1945	Alwyn Lindsay	6 April 1923	31	2	1945–1947
1945	Andy Monahan	11 March 1927	45	9	1945–1951
1945	Kevin Brown	9 March 1920	25	0	1945–1947
1945	Neil Tompkins	15 January 1927	12	3	1945
1945	Ced Hovey	18 July 1918	10	0	1945
1945	Cec Hammer	24 June 1926	2	0	1945
1945	Alan Elliott	6 November 1925	20	10	1945–1947
1945	Jim Young	27 November 1921	2	2	1945
1945	Don Bauer	17 May 1922	71	0	1945–1949
1945	Keith Park	29 May 1920	14	1	1945–1946
1945	Jack Muller	27 December 1920	21	25	1945–1946
1945	Frank Pike	6 March 1925	9	0	1945–1947
1946	George Card	14 September 1924	46	3	1946–1948
1946	Fred Flanagan	28 March 1924	163	182	1946–1955
1946	Tom Morrow	10 August 1923	120	58	1946–1952
1946	Russell Renfrey	8 November 1923	201	165	1946–1956
1946	Bob Wynne	9 October 1922	3	5	1946
1946	Bill Icke	1 November 1921	14	1	1946
1946	Alan Rayson	26 October 1924	18	15	1946–1947
1946	Jim Brown	26 March 1925	5	0	1946
1946	Norm Scott	6 June 1921	101	4	1946–1952
1946	Jim Hovey	15 August 1922	41	8	1946–1948
1946	Mick McGlynn	2 December 1922	6	1	1946
1946	Jack Whitten	25 January 1922	17	17	1946–1948
1946	Bill Tomlinson	7 May 1927	7	4	1946
1947	Syd Tate	13 February 1925	85	13	1947–1951
1947	Len White	26 August 1922	32	0	1947–1948
1947	Ron Wood	29 May 1923	16	2	1947–1948
1947	Brian Fitzgerald	29 December 1927	5	0	1947
1947	Marty Lynch	8 August 1926	43	63	1947–1951
1947	Leo Turner	15 May 1928	130	30	1947–1954
1947	Arthur Irvine	17 February 1926	48	40	1947–1949, 1951
1947	George Pike	22 January 1923	14	11	1947–1949
1947	Brian Wilson	11 October 1925	11	2	1947–1948
1947	Alf Burrell	10 August 1922	5	0	1947–1948
1948	Bob Davis	6 December 1928	189	149	1948–1958
1948	Ron Lunn	5 July 1929	39	6	1948–1950
1948	Bruce Morrison	19 June 1923	130	0	1948–1954
1948	Bernie Smith	19 December 1927	183	3	1948–1958
1948	Max Trewin	1 February 1927	6	2	1948
1948	Jack McGrath	13 February 1924	7	0	1948–1950
1948	Doug Davies	13 October 1930	12	14	1948–1950
1948	John Hyde	4 November 1930	108	12	1948–1954
1948	Arthur Luke	17 May 1923	1	0	1948
1948	Bill Pritchard	29 January 1927	21	0	1948–1951
1948	Ian Toyne	2 September 1930	38	0	1948–1950
1948	Wally Russell	25 March 1923	25	19	1948–1949
1949	Warren Canning	6 October 1927	7	3	1949, 1951
1949	Jack Condon	5 September 1922	31	47	1949–1950
1949	Russell Middlemiss	7 June 1929	74	2	1949, 1951–1955
1949	Charlie King	31 July 1926	6	0	1949
1949	Barrie Bretland	19 April 1928	15	2	1949–1950
1949	Jim Tuckwell	23 July 1927	22	0	1949–1952
1949	Alan Hickinbotham	12 September 1925	6	0	1949, 1951
1949	Neil Trezise	2 August 1931	185	272	1949–1959
1949	Ron Warren	10 May 1928	5	0	1949
1949	Leo O'Halloran	6 November 1925	20	19	1949–1952
1949	Terry Fulton	17 April 1930	51	3	1949–1954
