Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Winner	8 January 1989	Adelaide , Australia	Hard	Stefan Kruger	Mark Kratzmann Glenn Layendecker	6–2, 7–6
Runner-up	16 July 1989	Newport , U.S.	Grass	Stefan Kruger	Patrick Galbraith Brian Garrow	6–2, 5–7, 3–6
Winner	30 July 1989	Washington , U.S.	Hard	Gary Muller	Jim Grabb Patrick McEnroe	6–7, 7–6, 6–4
Runner-up	18 February 1990	Toronto Indoor , Canada	Carpet (i)	Kevin Curren	Patrick Galbraith David Macpherson	6–2, 4–6, 3–6
Runner-up	12 August 1990	Cincinnati , U.S.	Hard	Gary Muller	Darren Cahill Mark Kratzmann	6–7, 2–6
Runner-up	30 September 1990	Basel , Switzerland	Hard (i)	Gary Muller	Stefan Kruger Christo van Rensburg	6–4, 6–7, 3–6
Winner	7 October 1990	Toulouse , France	Hard	Gary Muller	Michael Mortensen Michiel Schapers	7–6, 6–4
Winner	9 February 1992	Milan , Italy	Carpet (i)	David Macpherson	Sergio Casal Emilio Sánchez	5–7, 7–5, 6–4
Runner-up	25 October 1992	Lyon , France	Carpet (i)	Stefan Kruger	Jakob Hlasek Marc Rosset	1–6, 3–6
Runner-up	25 April 1993	Seoul , South Korea	Hard	Gary Muller	Jan Apell Peter Nyborg	7–5, 6–7, 2–6
Runner-up	13 June 1993	London/Queen's Club , U.K.	Grass	Gary Muller	Todd Woodbridge Mark Woodforde	7–6, 3–6, 4–6
Runner-up	12 June 1994	Florence , Italy	Clay	Greg Van Emburgh	Jon Ireland Kenny Thorne	6–7, 3–6
Winner	14 August 1994	San Marino	Clay	Greg Van Emburgh	Jordi Arrese Renzo Furlan	6–4, 7–6
Runner-up	2 October 1994	Palermo , Italy	Clay	Greg Van Emburgh	Tom Kempers Jack Waite	6–7, 4–6
Runner-up	30 July 1995	Amsterdam , Netherlands	Clay	Wayne Arthurs	Marcelo Ríos Sjeng Schalken	6–7, 2–6
Runner-up	21 April 1996	Barcelona , Spain	Clay	Piet Norval	Luis Lobo Javier Sánchez	1–6, 3–6
Runner-up	23 June 1996	Nottingham , U.K.	Grass	Piet Norval	Mark Petchey Danny Sapsford	7–6, 6–7, 4–6
Runner-up	28 July 1996	Atlanta Olympics , U.S.	Hard	Tim Henman	Todd Woodbridge Mark Woodforde	4–6, 4–6, 2–6
Runner-up	6 October 1996	Lyon , France	Carpet (i)	Piet Norval	Jim Grabb Richey Reneberg	2–6, 1–6
Runner-up	11 May 1997	Hamburg , Germany	Clay	Piet Norval	Luis Lobo Javier Sánchez	3–6, 6–7
Runner-up	8 March 1998	Rotterdam , Netherlands	Carpet	Piet Norval	Jacco Eltingh Paul Haarhuis	6–7, 3–6
Winner	2 August 1998	Umag , Croatia	Clay	Piet Norval	Jiří Novák David Rikl	6–1, 3–6, 6–3
Winner	20 September 1998	Bournemouth , U.K.	Clay	Kevin Ullyett	Wayne Arthurs Alberto Berasategui	7–6, 6–3
Runner-up	21 February 1999	Rotterdam , Netherlands	Carpet	Peter Tramacchi	David Adams John-Laffnie de Jager	7–6, 3–6, 4–6
