Date	Tournament	Surface	Opponent in the final	Score
2 October 2007	Sawtell , F6	Clay	Miles Armstrong	6–1, 6–3
4 February 2008	Mildura , F1	Grass	Nathan Healey	6–1, ret.
4 March 2008	Hamilton , F2	Hard	Young-Jun Kim	6–4, 7–5
16 June 2008	Minsk , F2	Hard	Siarhei Betau	7–6(5), 6–1
9 February 2009	Mildura , F1	Grass	Matthew Ebden	6–0, 6–4
11 April 2010	Little Rock , F9	Hard	John Millman	6–3, 3–6, 6–3
2 May 2010	Ipswich , F3	Clay	Jason Kubler	6–3, 6–4
9 May 2010	Bundaberg , F4	Clay	Dane Propoggia	7–5, 6–3
17 October 2011	Bendigo , F9	Hard	Benjamin Mitchell	7–5, 6–3
17 June 2012	Tekirdağ , F23	Hard	Lorenzo Giustino	6–3, 6–1
7 July 2012	Bakio , F19	Hard	Jules Marie	6–2, 6–2
9 September 2012	Antalya , F34	Hard	Mohamed Safwat	2–6, 7–6, 6–1
